decision_id,architectural_decision,wp18b_position,wp18br_status,evidence,reason,risk,executive_impact
RAT11,Constraint management,operational_constraints as sole owner,REVISED,"WP18BR_SOURCE_OF_TRUTH_CHALLENGE_REGISTER.csv:S08","Daily field constraints and standing blocker registry are different owners","High","Constraint blind spots will persist unless the split is constitutionally named"
RAT12,Resource planning,existing federated owners,REVISED,"WP18BR_SOURCE_OF_TRUTH_CHALLENGE_REGISTER.csv:S10; OPPC_ENTERPRISE_RESOURCE_COORDINATION.md","Federation is real, but crew planning and governance lanes were under-specified","High","Dispatcher/superintendent/PM workflows can drift without a decomposed constitutional model"
RAT13,Equipment planning,equipment_master + dispatch_assignments,REVISED,"WP18BR_SOURCE_OF_TRUTH_CHALLENGE_REGISTER.csv:S09","Asset Spine must be acknowledged; external identifiers remain split","High","Shop/dispatcher/executive asset decisions can drift across systems"
RAT14,Crew planning,implicit inside resource planning,REVISED,"OPPC_PAYROLL_RECONCILIATION_CERTIFICATION.md; OPPC_ENTERPRISE_RESOURCE_COORDINATION.md","Crew planning must be explicit, not hidden inside a broader resource label","High","Field labor governance is stronger than WP-18B captured but needs explicit constitution"
RAT15,Executive KPI flow,consolidate existing lanes,DEFERRED,"WP18BR_SOURCE_OF_TRUTH_CHALLENGE_REGISTER.csv:S11; OPPC_PERFORMANCE_SCALABILITY_VALIDATION.md:24-27","No singular constitutional owner survives challenge yet","High","C-suite reporting remains exposed to semantic drift and portfolio latency"
RAT16,Budget hierarchy,BUILD_NEW,APPROVED,"WP18BR_SOURCE_OF_TRUTH_CHALLENGE_REGISTER.csv:S12","Challenge did not find an existing budget owner; PO workflow is adjacency only","High","CFO/controller architecture must start from a true canonical budget owner"
RAT17,Earned value,BUILD_NEW,APPROVED,"WP18BR_SOURCE_OF_TRUTH_CHALLENGE_REGISTER.csv:S13","Challenge did not find an earned-value engine/formula/store","High","Executives should not be shown faux earned-value metrics sourced from unrelated systems"
RAT18,Ten-year executive portfolio scale,implicit readiness,DEFERRED,"OPPC_PERFORMANCE_SCALABILITY_VALIDATION.md:24-27,37-45; OPPC_EXECUTIVE_ARCHITECTURE_CLOSEOUT.md:43-56","Project-level scale evidence exists; decade-scale executive refresh remains bounded by current latency architecture","High","National / multi-division expansion should not assume current portfolio refresh posture is final"
RAT19,AI constitutional readiness,AI can sit on current architecture,DEFERRED,"backend/routes/ods_intelligence.py:1-6; AdminAIConfiguration.jsx:1-13,44-81; WP18BR_TRUST_LINE_CHALLENGE_REGISTER.csv:T12,T14","AI capability exists, but semantic overlap and missing budget/EV truth limit safe AI expansion","High","AI can summarize current truths, but cannot safely invent missing financial/executive truth"
RAT20,Cost-code constitutional review,reuse existing registry plus project-assignment split,REVISED,"WP18B_COST_CODE_AUTHORITY_AUDIT.md; backend/routes/cost_codes.py:379-466,679-920; WP18BR_SOURCE_OF_TRUTH_CHALLENGE_REGISTER.csv:S03-S04","The split survives, but revision history, lock semantics, imports, and approval governance are not yet strong enough for final constitutional lock","High","Cost-code downstream work must treat governance hardening as a prerequisite, not an optional polish item"
RAT21,Schedule constitutional review,extend the existing schedule / lookahead / forecast stack,REVISED,"WP18B_SCHEDULE_AUTHORITY_AUDIT.md; OPPC_PERFORMANCE_SCALABILITY_VALIDATION.md:16-27,37-45; WP18BR_TRUST_LINE_CHALLENGE_REGISTER.csv:T03,T08","Project-scope schedule authority survives, but master-schedule, constraint-binding, and executive-scale refresh posture do not yet survive unchanged","High","Operations leadership can reuse the stack, but must not overstate enterprise maturity"
RAT22,Executive operator discoverability,current PM shell and adjacent portals are sufficient,REVISED,"WP18B_OPERATOR_EXPERIENCE_AUDIT.md; frontend/src/app/routing/AppRoutes.jsx:878-900,1046-1093,1168-1170; backend/ops_manual.py:357","PM discoverability is strong, but role-by-role operator discoverability is uneven and accounting/controller/estimator controls remain weak or absent","Medium-high","Future controls work should clarify role entry and naming before adding more surfaces"
RAT23,Accounting / controller / estimating controls coverage,implicitly covered by PM financial adjacency and PO workflows,DEFERRED,"backend/routes/po_requests.py:580-712; frontend/src/pages/ProjectPnlPage.jsx:28; WP18A_COST_CODE_FORENSIC_AUDIT.md:70","Challenge did not prove a complete accounting/controller/estimating constitutional stack, especially for budget ownership and ERP-facing authority","High","Finance-facing expansion remains governance-sensitive and should not be assumed solved by current adjacency"
RAT24,WP-18B implementation sequence,freeze authority then extend existing controls before Budget and Earned Value,REVISED,"WP18B_RECOMMENDED_IMPLEMENTATION_SEQUENCE.md; WP18BR_SOURCE_OF_TRUTH_CHALLENGE_REGISTER.csv:S07-S11; WP18BR_TRUST_LINE_CHALLENGE_REGISTER.csv:T05-T15","The overall reuse-first order survives, but the sequence must now explicitly include production/constraint decomposition, Asset Spine acknowledgement, explicit crew planning, and KPI deferment before any financial build","High","WP-18C sequencing remains valid only if the amendments become prerequisites rather than follow-up cleanup"
