capability_id,subsystem,proof_label,current_state,final_disposition,reason,wp18c_phase,blocking
D25,Notifications / approvals / escalations,SOURCE_VERIFIED,"Notification acknowledgements and approval flows already exist under governance.",PRESERVE_AND_GOVERN,"Keep the framework while attaching new budget/controls events to it.",WP18C2,No
D26,AI assistive layer,SOURCE_VERIFIED,"AI config, translation, and briefing assist already exist as downstream tools.",PRESERVE_AND_GOVERN,"Preserve AI as assistive, not authoritative.",WP18C9,No
D27,Project P&L snapshot,SOURCE_VERIFIED,"Derived job-cost snapshot already exists from Daily Reports.",PRESERVE_AND_GOVERN,"Keep as a bounded derived surface, not a budget owner.",WP18C9,No
D28,PO workflow,SOURCE_VERIFIED,"PO requests already track estimate, approval, issue, and receipt signal.",PRESERVE_AND_GOVERN,"Preserve as procurement truth input to budget, not budget itself.",WP18C7,No
D29,PDF / email / report framework,DOCUMENTED_ONLY,"Current platform already contains extensive PDF/email/report generation.",PRESERVE_AND_GOVERN,"Validated communications infrastructure should not be replaced during WP-18C.",Out of scope,No
D30,Backup / recovery systems,DOCUMENTED_ONLY,"Backup and recovery systems are already governed and should remain protected.",PRESERVE_EXACTLY,"No evidence supports touching recovery posture in WP-18C.",Out of scope,No
D31,ODS / executive reporting,SOURCE_VERIFIED,"Executive read-side surfaces exist but overlap semantically.",REFACTOR_IN_PLACE,"Keep the readers but refactor them under one reporting hierarchy.",WP18C9,Yes
D32,Operational KPI rollups,SOURCE_VERIFIED,"KPI aggregation already exists and is explicitly non-financial.",EXTEND,"Useful aggregation pattern should mature under the final reporting hierarchy.",WP18C9,No
D33,Legacy operational intelligence digest,SOURCE_VERIFIED,"Legacy digest lane duplicates newer executive visibility surfaces.",RETIRE,"Retirement reduces semantic duplication and preserves newer value.",WP18C9,No
D34,Integration adapters / import-export,DOCUMENTED_ONLY,"Integration and import/export capability already exists and should remain additive.",PRESERVE_AND_GOVERN,"Keep adapters subordinate to authoritative domain owners.",WP18C10,No
D35,Budget Hierarchy,PARTIAL_EVIDENCE,"No canonical budget baseline owner currently exists.",BUILD_NEW,"This is one of the two justified net-new subsystems.",WP18C3,Yes
D36,Earned Value engine,NOT_FOUND,"No canonical EV engine currently exists.",BUILD_NEW,"This is the second and final justified net-new subsystem.",WP18C8,Yes
