field_group,label,internal_key,type,required,default,validation,where_shown,when_shown,who_fills,source_of_options,in_pdf,in_email,pm_sees,safety_sees,hr_sees,shop_sees,dispatch_sees,admin_sees,ods_ingests,trust_spine_records,ai_uses,photo_ai_uses,historical_dep,billing_compliance_dep,operator_friction,business_value,recommendation,reason
03_general,Any Injuries Reported?,injuries_reported,YesNo,No,No,—,section-03,always,supervisor,manual,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,LOW,CRITICAL,KEEP,Safety trigger · gates escalation block.
03_general,Incident notes,incident_notes,textarea,Conditional,—,required when Yes,section-03,when accident/injury=Yes,supervisor,manual,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,MEDIUM,CRITICAL,KEEP,Only free-text narrative surviving Track 19.07.
03_general,Was Safety notified?,safety_notified,YesNo,Conditional*,—,required when accident/injury=Yes,escalation,when accident/injury=Yes,supervisor,manual,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,LOW,CRITICAL,KEEP,Stop-the-line gate.
03_general,Who Was Contacted?,safety_contact_person,text,Conditional*,—,non-empty when safety_notified=Yes,escalation,after safety_notified=Yes,supervisor,manual,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,LOW,CRITICAL,KEEP,Audit trail.
03_general,Time of Contact,safety_contact_time,time,Conditional*,—,non-empty when safety_notified=Yes,escalation,after safety_notified=Yes,supervisor,manual,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,LOW,CRITICAL,KEEP,Audit trail.
03_general,Incident report filled?,incident_report_filled,YesNo,Conditional*,—,must be Yes to submit,escalation,after safety_notified=Yes,supervisor,manual,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,LOW,CRITICAL,KEEP,Stop-the-line gate #2.
03_general,Time incident report filed,incident_report_time,time,Conditional*,—,non-empty when incident_report_filled=Yes,escalation,after incident_report_filled=Yes,supervisor,manual,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,LOW,CRITICAL,KEEP,Audit trail.
03_general,Operational notes (optional),general_notes,textarea,No,—,—,section-03,always,supervisor,manual,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,MEDIUM,LOW,SIMPLIFY,Rec #7 · rename to 'What's unique today' · repeated across too many places.
03_narrative,Additional context (rarely needed),narrative_sections,dict,No,—,—,section-03 details,always (collapsed),supervisor,manual,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,HIGH-when-open,LOW,DEFER,Track 19.07 already collapsed; ~0% completion. Consider removing keys except tomorrow_plan (Rec #6).
03_excavation,Excavation Activity Today?,excavation_activity_today,YesNo,No,No,—,section-03,always,supervisor,manual,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,LOW,HIGH,KEEP,OMEGA Correction 1 · trench safety gate.
03_excavation,linked_excavation_ids,linked_excavation_ids,array,Conditional*,—,≥1 when yes,section-03,when excavation=Yes,supervisor,trench_excavations,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,MEDIUM,HIGH,KEEP,Two-way link required for OSHA/trench.
04_crews,MASCI Crew rows,masci_crews[],array,Conditional,—,each with name/trade/hours,section-04,when presence=yes,supervisor,employees master,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,HIGH,CRITICAL,KEEP,Payroll/HR anchor.
04_crews,crew.name+employee_id,name/employee_id,employee-combo,No,—,linkage warning if unresolved,each row,per row,supervisor,employees,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,MEDIUM,CRITICAL,KEEP,Governance linkage — see UX finding #4.
04_crews,crew.trade,trade,text,No,employee.trade,—,each row,per row,supervisor,employees,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,LOW,MEDIUM,KEEP,—
04_crews,crew.hours (auto),hours,readonly,No,derived,—,each row,per row,server-side calc,derived,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,ZERO,CRITICAL,KEEP,Payroll input.
04_crews,crew.start_time/lunch_minutes/stop_time,triple,time,No,30-min lunch,—,each row,per row,supervisor,manual,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,HIGH,CRITICAL,KEEP,Editable payroll deltas.
04_crews,crew.work_performed,work_performed,textarea,No,—,—,each row,per row,supervisor,manual,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,MEDIUM,MEDIUM,KEEP,Feeds AI summary; can be short.
05_subs,Subcontractor rows,subcontractors[],array,No,—,—,section-05,when presence=yes,supervisor,supplier list,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,MEDIUM,HIGH,KEEP,PM billing verification.
05_subs,sub.company,company,supplier-combo,No,—,—,each row,per row,supervisor,suppliers,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,LOW,HIGH,KEEP,—
05_subs,sub.trade,trade,text,No,—,—,each row,per row,supervisor,manual,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,LOW,MEDIUM,KEEP,—
05_subs,sub.foreman,foreman,text,No,—,—,each row,per row,supervisor,manual,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,LOW,MEDIUM,KEEP,—
05_subs,sub.count,count,number,No,—,—,each row,per row,supervisor,manual,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,LOW,HIGH,KEEP,Head-count evidence.
05_subs,sub.hours,hours,number,No,—,—,each row,per row,supervisor,manual,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,LOW,HIGH,KEEP,Billing evidence.
05_subs,sub.work_performed,work_performed,textarea,No,—,—,each row,per row,supervisor,manual,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,MEDIUM,MEDIUM,KEEP,—
05_subs,sub.attachment_note,attachment_note,text,No,—,—,each row,per row,supervisor,manual,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,LOW,LOW,SIMPLIFY,Rec #5 · replace with photo-caption prompt.
05_subs,sub.photos,photos,photo[],No,—,—,each row,per row,supervisor,camera,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,MEDIUM,HIGH,KEEP,Ticket photo evidence.
06_visitors,Visitor rows,visitors[],array,No,—,—,section-06,when presence=yes,supervisor,manual,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,LOW,LOW,MAKE OPTIONAL,~10% completion rate; consider hiding for MOT-heavy projects.
06_visitors,visitor.name/company/time_in/time_out/purpose,—,inputs,No,—,—,each row,per row,supervisor,manual,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,LOW,LOW,KEEP-as-is,—
07_equipment,Equipment rows,equipment[],array,No,—,—,section-07,when presence=yes,supervisor,equipment_master + Motive,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,MEDIUM,HIGH,KEEP,Shop/Dispatch reconciliation anchor.
07_equipment,Motive detected today (M-DR-1),—,affordance,No,—,—,section-07,when Motive data,Motive→foreman,motive_daily_activity,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,ZERO(auto),HIGH,KEEP,Reduces omissions.
07_equipment,Motive verification (M-2-5),—,readonly,No,—,—,section-07,when Motive data,auto,motive_daily_activity,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,ZERO,MEDIUM,KEEP,Read-only reconciliation.
07_equipment,eq.description,description,equipment-combo,No,—,—,each row,per row,supervisor,equipment_master,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,LOW,HIGH,KEEP,—
07_equipment,eq.hours_used/time_delivered/time_removed/notes,—,mixed,No,—,—,each row,per row,supervisor,manual,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,MEDIUM,MEDIUM,KEEP,—
08_materials_in,Material Deliveries,materials[],array,No,—,—,section-08,when presence=yes,supervisor,supplier list,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,MEDIUM,HIGH,KEEP,Billing / claims evidence.
08_materials_in,mat.description/quantity/unit/supplier/ticket_number/notes,—,mixed,No,—,—,each row,per row,supervisor,manual+supplier,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,MEDIUM,HIGH,KEEP,—
08_materials_in,mat.ticket_photos,ticket_photos,photo[],No,—,—,each row,per row,supervisor,camera,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,MEDIUM,HIGH,KEEP,Ticket copies · claims defense.
09_materials_out,Outbound / Hauled Off,outbound_materials[],array,No,—,—,section-09,when presence=yes,supervisor,manual+enums,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,MEDIUM,HIGH,KEEP,MM-ENTRY-002 evidence — recycling/landfill manifests.
09_materials_out,outbound.material (enum) / quantity / unit (enum) / hauler / destination / ticket_or_manifest / notes,—,mixed,No,—,—,each row,per row,supervisor,manual+enums,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,MEDIUM,MEDIUM,KEEP,—
10a_activities,Activity rows,activities[],array,No,—,—,section-10a,always,supervisor,manual,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,MEDIUM,LOW,MERGE,Rec #4 · fully overlaps with production[]; consolidate.
10a_activities,activity.activity/percent_complete/station_from/station_to/notes,—,mixed,No,—,—,each row,per row,supervisor,manual,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,MEDIUM,LOW,MERGE,See Rec #4.
10b_production,Production rows,production[],array,No,—,server-derives flags,section-10b,always,supervisor,manual+7-unit enum,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,MEDIUM,HIGH,KEEP,Advisory RFI/Schedule flags derived server-side.
10b_production,prod.description/quantity/unit/custom_unit_label/station_from/station_to/notes,—,mixed,No,—,unit ∈ 7-enum,each row,per row,supervisor,manual,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,MEDIUM,HIGH,KEEP,—
11_delays,Delay / Extra Work chips + rows,constraints[],array,Conditional*,—,≥1 row if schedule_delays=Yes OR weather_impact=Yes,section-11,when presence=yes,supervisor,manual+11-enum+chip grid,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,LOW-with-chips,HIGH,KEEP,11-type enum · advisory flags.
11_delays,constraint.constraint_type/hours_impact/notes,—,mixed,No,—,type ∈ 11-enum,each row,per row,supervisor,manual,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,LOW,HIGH,KEEP,—
12_photos,photos[],photos,photo[],Yes (≥ photo_min · default 6),—,length ≥ photo_min,section-12,always,supervisor,camera/upload,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,LOW,CRITICAL,KEEP,Required minimum · policy anchor.
12_photos,photo_captions[],photo_captions,text[],No,—,—,section-12,per photo,supervisor,manual,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,MEDIUM,LOW,MAKE OPTIONAL,Rec #10 · ~5% completion; replace with grounded AI-tag suggestion.
12_photos,attachments[] (PDF/Excel/CSV),attachments,array,No,—,—,section-12,always,supervisor,upload,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,MEDIUM,MEDIUM,KEEP,Unified envelope (Track 19.04).
13_tomorrow,Tomorrow / Follow-Up (single textarea),narrative_sections.tomorrow_plan,textarea,No,—,—,section-13,always,supervisor,manual,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,LOW,HIGH,KEEP,Feeds next-day AI prefill; keep.
14_daily_op_summary,Daily Operational Summary block,daily_operational_summary,dict,No,—,—,section-14,always (collapsible),supervisor,manual,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,MEDIUM,LOW,DEFER,Rec #8 · unclear whether operators fill this; overlaps with AI assist and general_notes.
15_ai_assist,Draft Summary Assist,ai_accepted_summary/ai_accepted_summary_meta,text+meta,No,—,—,section-15,always,supervisor→AI,AI Gateway/deterministic,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,LOW,HIGH,KEEP,Track 22.9A wire-up · single most-consumed downstream field.
16_signoff,Distribution List,distribution_list,email[],No,—,≤20 · email regex,section-16,always,supervisor,manual,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,MEDIUM,MEDIUM,KEEP,PM CC list.
16_signoff,Prepared By Signature *,prepared_by_signature,signature,Yes,—,non-empty,section-16,always,supervisor,pad,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,MEDIUM,CRITICAL,KEEP,Single accountable signer (DR-FIX-3 R13).
—,superintendent_signature (legacy),superintendent_signature,signature,No (retired),—,—,none,never (UI removed DR-FIX-3),—,—,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,ZERO(dead),LOW,REMOVE,Rec #9 · UI removed but field still on payload; drop from persistence.
—,submit_language,submit_language,text,No,en,client-set,payload,always,client,browser,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,ZERO,LOW,KEEP,Translation audit.
—,team_snapshot,team_snapshot,dict,No,server-set,—,payload,server-side,server,team_routing,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,ZERO(auto),MEDIUM,KEEP,Job-ownership snapshot at submit.
—,audit_envelope_sha256,audit_envelope_sha256,hash,No,server-set,—,server,server-side,server,server,Yes(footer),No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,ZERO(auto),CRITICAL,KEEP,Tamper detection.
—,prepared_by_identity/prepared_by_bound,—,dict/bool,No,resolver,—,server,server-side,resolver,portal tokens,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,ZERO,HIGH,KEEP,DR-FIX-3 R9.
