route,family,role,visible_entry_point,navigation_path,reachability_status,hidden_surface_disposition,certification_status,route_kind,source_file,source_line
/safety/cards,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,REPAIRED_NOT_CERTIFIED,static_route,frontend/src/app/routing/AppRoutes.jsx,527
/field,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,528
/field/calculators,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,529
/qaqc,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,530
/qa-qc,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ALIAS,REDIRECT,PENDING,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,531
/qaqc/:slug/new,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,PENDING,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,532
/qaqc/:id,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,CERTIFIED 390/768/1024/1440,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,533
/admin/qaqc,Administration,Administrator / executive reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,534
/admin/transportation/*,Administration,Administrator / executive reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,AUDITED_DEFECTS_REMAIN,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,535
/transportation-operations/*,Transportation Operations,Transportation / Dispatch / Carrier,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,REPAIRED_NOT_CERTIFIED after shared auth/session fix,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,540
/admin/photos,Administration,Administrator / executive reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,AUDITED_DEFECTS_REMAIN,static_route,frontend/src/app/routing/AppRoutes.jsx,541
/constraints,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,549
/constraints/new,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,550
/constraints/:id,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,PENDING,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,551
/leadership,Field Leadership,Field Leadership / admin reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,554
/leadership/hub_v2,Field Leadership,Field Leadership / admin reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,557
/leadership/records,Field Leadership,Field Leadership / admin reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,561
/leadership/records/:id,Field Leadership,Field Leadership / admin reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,PENDING,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,562
/leadership/:kind/new,Field Leadership,Field Leadership / admin reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,PENDING,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,563
/safety/inspections/new,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,REPAIRED_NOT_CERTIFIED after shared auth/session fix,static_route,frontend/src/app/routing/AppRoutes.jsx,568
/inspect/new,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,569
/submit,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,570
/inspections/submit,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,571
/inspections/new,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,572
/meetings/new,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,574
/meetings/submit,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,575
/jha,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,CERTIFIED 390/430 + desktop,static_route,frontend/src/app/routing/AppRoutes.jsx,577
/jha/submit,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ALIAS,REDIRECT,PENDING,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,578
/jha/new,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ALIAS,REDIRECT,PENDING,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,579
/trench-boxes,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ALIAS,REDIRECT,PENDING,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,581
/trench-safety,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,CERTIFIED 390/768/1024/1440,static_route,frontend/src/app/routing/AppRoutes.jsx,583
/trench-safety/tabulated-data,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,CERTIFIED 390/768/1024/1440,static_route,frontend/src/app/routing/AppRoutes.jsx,585
/trench-safety/references,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,CERTIFIED 390/768/1024/1440,static_route,frontend/src/app/routing/AppRoutes.jsx,586
/trench-safety/report,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,CERTIFIED 390/768/1024/1440,static_route,frontend/src/app/routing/AppRoutes.jsx,587
/trench-safety/assets/:assetId,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,CERTIFIED 390/768/1024/1440,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,589
/transport-invite/:token,Transportation Operations,Transportation / Dispatch / Carrier,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,CERTIFIED 390/768/1024/1440,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,591
/transport-verify/:cnum,Transportation Operations,Transportation / Dispatch / Carrier,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,CERTIFIED 390/768/1024/1440,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,592
/incidents/new,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ALIAS,REDIRECT,PENDING,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,600
/incidents/submit,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ALIAS,REDIRECT,PENDING,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,601
/incidents/report,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,603
/near-miss,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,CERTIFIED 390/768/1024/1440,static_route,frontend/src/app/routing/AppRoutes.jsx,605
/safety/cases/:caseId,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,PENDING,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,607
/safety/incidents/:caseId/thread,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,PENDING,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,612
/safety/executive-intelligence,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,REPAIRED_NOT_CERTIFIED,static_route,frontend/src/app/routing/AppRoutes.jsx,614
/safety/cases/:caseId/reports/:reportType,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,PENDING,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,616
/safety/cases/:caseId/executive-report,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,PENDING,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,618
/daily/new,Shared Operational Home and Public Entry,Public / Shared,Browser proof 2026-08-01: direct alias route,/daily/new → /daily/submit (browser proof 2026-08-01),PROVEN_REDIRECT,REDIRECT,CERTIFIED_ALIAS,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,624
/daily/submit,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,625
/equipment/new,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,627
/equipment/submit,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,628
/equipment/:id,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,PENDING,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,629
/fleet/dvir/new,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,632
/fleet/dvir/submit,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,633
/fleet/weekly-lead/new,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,635
/fleet/weekly-emergency/new,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,636
/fleet/dvir/submitted/:id,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,PENDING,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,637
/thank-you,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,CERTIFIED 390/768/1024/1440,static_route,frontend/src/app/routing/AppRoutes.jsx,639
/cheatsheet,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,CERTIFIED 390/768/1024/1440,static_route,frontend/src/app/routing/AppRoutes.jsx,640
/cheat-sheet,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ALIAS,REDIRECT,PENDING,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,641
/reports/daily/new,Shared Operational Home and Public Entry,Public / Shared,Browser proof 2026-08-01: direct alias route,/reports/daily/new → /daily/submit (browser proof 2026-08-01),PROVEN_REDIRECT,REDIRECT,CERTIFIED_ALIAS,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,647
/daily-reports/new,Shared Operational Home and Public Entry,Public / Shared,Browser proof 2026-08-01: direct alias route,/daily-reports/new → /daily/submit (browser proof 2026-08-01),PROVEN_REDIRECT,REDIRECT,CERTIFIED_ALIAS,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,648
/daily-reports,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,656
/daily-reports/:id,Shared Operational Home and Public Entry,Public / Shared,Browser proof 2026-08-02: detail deep-link alias,PM-auth /daily-reports/:id → /pm/daily/:id; admin-auth /daily-reports/:id → /admin/daily/:id after route fix (browser proof 2026-08-02),PROVEN_REDIRECT,REDIRECT,CERTIFIED_ALIAS,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,657
/safety/jha,Safety Operations,Safety operator / public safety user,Browser redirect proof 2026-08-02,/safety/jha → /jha (browser proof 2026-08-02),PROVEN_REDIRECT,REDIRECT,CERTIFIED_ALIAS,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,658
/safety/trench-boxes,Safety Operations,Safety operator / public safety user,Browser redirect proof 2026-08-02,/safety/trench-boxes → /trench-safety/tabulated-data (browser proof 2026-08-02),PROVEN_REDIRECT,REDIRECT,CERTIFIED_ALIAS,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,659
/safety/trench-safety,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,REPAIRED_NOT_CERTIFIED after shared auth/session fix,static_route,frontend/src/app/routing/AppRoutes.jsx,661
/safety/trench-safety/assets,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,REPAIRED_NOT_CERTIFIED after shared auth/session fix,static_route,frontend/src/app/routing/AppRoutes.jsx,662
/safety/trench-safety/assets/:assetId,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,PENDING,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,663
/safety/trench-safety/tabulated-data,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,REPAIRED_NOT_CERTIFIED after shared auth/session fix,static_route,frontend/src/app/routing/AppRoutes.jsx,664
/safety/trench-safety/reports,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,REPAIRED_NOT_CERTIFIED after shared auth/session fix,static_route,frontend/src/app/routing/AppRoutes.jsx,665
/safety/trench-safety/excavations,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,REPAIRED_NOT_CERTIFIED after shared auth/session fix,static_route,frontend/src/app/routing/AppRoutes.jsx,666
/admin/trench-safety/excavations,Administration,Administrator / executive reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,667
/trench-safety/excavation/new,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,CERTIFIED 390/768/1024/1440,static_route,frontend/src/app/routing/AppRoutes.jsx,668
/safety/trench-safety/repair-review,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,REPAIRED_NOT_CERTIFIED after shared auth/session fix,static_route,frontend/src/app/routing/AppRoutes.jsx,670
/safety/trench-safety/field-reports,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,REPAIRED_NOT_CERTIFIED after shared auth/session fix,static_route,frontend/src/app/routing/AppRoutes.jsx,671
/safety-portal/trench-safety,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ALIAS,REDIRECT,PENDING,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,673
/safety-portal/trench-safety/assets,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ALIAS,REDIRECT,PENDING,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,674
/safety-portal/trench-safety/tabulated-data,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ALIAS,REDIRECT,PENDING,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,675
/app/*,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ALIAS,REDIRECT,PENDING,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,684
/admin/login,Administration,Administrator / executive reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,689
/admin,Administration,Administrator / executive reviewer,Admin-shell batch audit 2026-08-02 with seeded multi-login session,Direct seeded admin open during shared-shell family audit,OPENED_BATCH_AUDIT_20260802,EXPOSED_OR_NAV_REVIEW,OPENED_NOT_AUDITED after shared-shell batch audit,static_route,frontend/src/app/routing/AppRoutes.jsx,698
/admin/hub_v1,Administration,Administrator / executive reviewer,Browser redirect proof 2026-08-02,/admin/hub_v1 → /admin (browser proof 2026-08-02),PROVEN_REDIRECT,REDIRECT,CERTIFIED_ALIAS,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,699
/admin/hub_v2,Administration,Administrator / executive reviewer,Browser redirect proof 2026-08-02,/admin/hub_v2 → /admin (browser proof 2026-08-02),PROVEN_REDIRECT,REDIRECT,CERTIFIED_ALIAS,alias_or_redirect,frontend/src/app/routing/AppRoutes.jsx,701
/admin/executive-overview,Administration,Administrator / executive reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,CERTIFIED auth + EN/ES + 390/1440 + shared-shell proof,static_route,frontend/src/app/routing/AppRoutes.jsx,702
/admin/executive-intelligence,Administration,Administrator / executive reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,703
/admin/material-ledger-quality,Administration,Administrator / executive reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,705
/admin/people,Administration,Administrator / executive reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,706
/admin/mfa,Administration,Administrator / executive reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,707
/admin/promo-assets,Administration,Administrator / executive reviewer,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,708
/admin/jobs,Administration,Administrator / executive reviewer,Admin-shell batch audit 2026-08-02 with seeded multi-login session,Direct seeded admin open during shared-shell family audit,OPENED_BATCH_AUDIT_20260802,EXPOSED_OR_NAV_REVIEW,OPENED_NOT_AUDITED after shared-shell batch audit,static_route,frontend/src/app/routing/AppRoutes.jsx,709
