object_class,object_id,object,classification,resolution,evidence_source,denominator_result
hidden_detail_denominator,NAV-0083,/admin/incidents/:id,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0084,/admin/inspections/:id,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0085,/admin/asset-mapping,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0086,/admin/asset-admin,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0087,/admin/asset-spine,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0088,/admin/geofence-reconciliation,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0089,/admin/operational-inventory,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0090,/admin/operational-intelligence,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0091,/admin/promo-assets,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0092,/admin/analytics,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0093,/admin/integrations,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0094,/admin/ai-configuration,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0095,/admin/digest-config,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0096,/admin/email,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0097,/admin/sessions,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0098,/admin/governance,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,ROUTE-0093,/admin/hub_v2,REDIRECT_ALIAS_EXCLUDED,Hidden redirect alias remains a route inventory object but is excluded from hidden/detail-surface math; it is classified under redirect/alias surfaces,frontend/src/app/routing/AppRoutes.jsx:804,HIDDEN_DETAIL_DENOMINATOR_113
primitive_family_denominator,PRIMITIVE-REGISTRY,/app/memory/WP17D_PRIMITIVE_FAMILY_REGISTRY.csv,DENOMINATOR_RECONCILED,64 true primitive families reconciled as 48 ui primitives + 16 governed wrappers; route-owner and domain-owner component labels are excluded from primitive-family math,frontend/src/components/ui/*.jsx + governed wrapper files,PRIMITIVE_FAMILY_DENOMINATOR_64
classification_wave,CLASS-20260802-AUTH-SHELL,route_status_reconciliation,NO_DENOMINATOR_CHANGE,Shared auth-blocker elimination plus admin-shell batch audit changed route statuses and certifications without changing the locked 484-route denominator,/app/memory/WP17D_AUTH_AND_DAILY_RECHECK_20260802.md,ROUTE_DENOMINATOR_484
