flow_id,domain,upstream_producer,authoritative_store,transforms_or_apis,downstream_consumers,flow_strength,confidence_level,architectural_impact,recommended_disposition,evidence_source
F11,Canonical Daily Report record,"field/public submit flow",daily_reports,"create_daily_report -> list/detail/export/evidence endpoints","PM/Admin daily readers; safety view; ODS ingest; OPPC",COMPLETE,HIGH,"Daily Reports are the primary field-actual record and should not be duplicated",REUSE,"WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T11-T13"
F12,Safety Daily Report projection,"daily_reports canonical records",daily_reports,"GET /api/safety/daily-reports","Safety Portal read-only list/detail consumers",COMPLETE,MEDIUM_HIGH,"Projection exists without replacing the underlying truth store",REUSE,"WP18A_DAILY_REPORT_PROJECT_CONTROLS_BINDING_AUDIT.md:24-32"
F13,Constraint registry,"constraint create/edit/resolve actions",operational_constraints,"/api/constraints CRUD-like routes","constraint list/detail/edit surfaces; PM command holds rows",WEAK,MEDIUM,"Constraint truth exists, but downstream control flows remain under-connected",EXTEND,"WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T14; pm_command_center.py:301-341"
F14,Monday review workspace,"schedule/actuals/payroll/task/trust-spine aggregators plus PM edits",jobs_master.oppc_monday_reviews,"build_project_execution_workspace + monday-review APIs","PmMondayReviewWorkspace; briefing builders",COMPLETE,MEDIUM_HIGH,"A real control workspace already exists and should be elevated, not rebuilt",EXTEND,"WP18A_MONDAY_RECAP_AND_INTELLIGENCE_AUDIT.md:13-24; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T15"
F15,Monday briefing artifact,"OPPC workspace and confidence builders",oppc_monday_briefings,"project/enterprise briefing build, approve, freeze, pdf","PM Monday review; ExecutiveOperationalIntelligence briefing panel",COMPLETE,MEDIUM_HIGH,"Persisted briefing outputs already provide the communication layer",REUSE,"WP18A_MONDAY_RECAP_AND_INTELLIGENCE_AUDIT.md:26-43; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T16-T17"
F16,Enterprise resource coordination,"planning demand + staffing + dispatch + equipment owners","jobs_master.assigned_cost_codes + project_team_assignments + dispatch_assignments + equipment_master","oppc_intelligence enterprise resource coordination APIs","ExecutiveOperationalIntelligence; enterprise Monday briefings",WEAK_BUT_REAL,MEDIUM_HIGH,"Resource planning already exists as a federated derived lane and should be formalized",EXTEND,"OPPC_ENTERPRISE_RESOURCE_COORDINATION.md:5-24"
F17,PM command resource/equipment view,"dispatch assignments + equipment registry + defects + haul cycles","dispatch_assignments + equipment_master + haul_cycles + fleet_defects","/api/pm/command-center/overview + /resources","PmCommandCenter resource and overview sections",WEAK_BUT_REAL,MEDIUM_HIGH,"Operator-facing resource/equipment visibility already exists but is spread across aggregators",EXTEND,"pm_command_center.py:360-503; 508-560"
F18,ODS operational intelligence,"Daily Report ingest and other operational events","operational_facts + operational_kpi_snapshots","/api/ods/* + /api/ods/pm/* + /api/ods/admin/* + /api/ods/executive/*","PM/Admin/Executive ODS dashboards",COMPLETE,MEDIUM_HIGH,"Derived intelligence lane exists and must remain subordinate to canonical operations truth",EXTEND,"WP18A_DAILY_REPORT_PROJECT_CONTROLS_BINDING_AUDIT.md:33-41; WP18A_PLATFORM_CAPABILITY_REGISTER.csv:C12-C14"
F19,Project health executive rollup,"jobs_master + tasks + po_requests + incidents + corrective actions + confidence history",project_health payload,"GET /api/project-health + confidence endpoints","ProjectHealth page; executive health consumers",WEAK_BUT_REAL,MEDIUM_HIGH,"Executive read-side exists but is one of several overlapping KPI lanes",CONSOLIDATE,"WP18A_PLATFORM_CAPABILITY_REGISTER.csv:C17; WP17A_KPI_SOURCE_MAP.md:24"
F20,Legacy operational-intelligence digest,"product aggregators via compose()","operational_intelligence_history + operational_intelligence_audit + recipient/group registries","preview/dispatch/summary/history/audit APIs","AdminOperationalIntelligence cockpit",WEAK,MEDIUM,"Legacy digest capability exists but overlaps with ODS and OPPC executive summary lanes",CONSOLIDATE,"WP18A_MONDAY_RECAP_AND_INTELLIGENCE_AUDIT.md:52-80; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T18"
F21,Manual integration mappings,"CSV import/export operators","asset_mappings + employee_mappings","manual import/export fallback routes","mapping consumers; admin fallback operators",COMPLETE,MEDIUM,"The fallback bridge is real and should be preserved as manual connective tissue",REUSE,"WP18A_IMPORT_EXPORT_CAPABILITY_AUDIT.md:8-45; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T20"
F22,Budget hierarchy,"none proven",none,"none proven in audited evidence","none proven today",MISSING,HIGH,"Budget control is an executive requirement with no evidenced canonical owner or hierarchy",BUILD_NEW,"domainMap.js:42-51; operational_kpis.py:16-17; repository search executed 2026-08-03"
F23,Earned value,"none proven",none,"none proven in audited evidence","none proven today",MISSING,HIGH,"Earned value is absent as an engine/formula/store and must only be introduced after budget authority exists",BUILD_NEW,"Repository-wide search executed 2026-08-03 returned no earned value/EVM/CPI/SPI owner or engine in audited code/docs"
