workflow_id,workflow_name,entry_route,submit_endpoint,role,record_created,db_collection,record_id,routing_verified,email_verified,bell_verified,portal_visibility_verified,pdf_verified,trust_spine_verified,audit_verified,rbac_verified,final_verdict,evidence,notes
MTG-01,Safety Meeting,/meetings/new,POST /api/safety/meetings,safety/field,YES (133 records),meetings,uuid + meeting_number (project_number + meeting_date+location as ordering key),PARTIAL (safety.meeting notifs=76),SKIPPED_HONEST,YES (safety.meeting=76),NOT_VERIFIED (401 anon; needs safety token),NOT_VERIFIED (meeting PDF endpoint may exist),PARTIAL (TS workflow=meeting=560 events — strong coverage),YES,YES (401 anon),VERIFIED_PARTIAL,TS count 560 events on meetings,MASCI attendee identity preservation NOT verified in this trace — DEFECT B-02
QAQC-01,QA/QC,/inspect/new,POST /api/qaqc/inspections (returned 404 on GET),pm/qc/field,YES (33 records),qaqc_inspections,uuid + inspection_number,PARTIAL (qaqc.inspections notifs=81),SKIPPED_HONEST,YES (qaqc.inspections=81),NOT_VERIFIED (404 on likely path),NOT_VERIFIED,YES (TS workflow=qaqc=56 events),YES,NOT_VERIFIED,PARTIAL,DB count · TS count,"P2: /api/qaqc/inspections GET returned 404 — visibility endpoint discovery needed"
JHA-01,JHP/JHA,/jha (public),POST /api/jhas,safety/pm,YES (12 records; 1 acknowledgement),jhas,uuid,PARTIAL,SKIPPED_HONEST,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED (PDF may exist),YES (TS workflow=jha=12 events — perfect coverage),YES,YES (public route),VERIFIED_PARTIAL,"TS=12 · records=12 (1:1)","MASCI uses JHP terminology · check terminology drift in follow-up"
DRV-01,Driver Portal,/driver/*,various,driver,YES (8 dispatch_driver_sessions),dispatch_driver_sessions,uuid,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,BLOCKED,session count only,"No driver token issued — deep audit deferred to Track 22.4b-follow-up"
DISP-ASGN-01,Dispatch Assignment,dispatch board,POST /api/dispatch/assignments,dispatch,YES (490 records),dispatch_assignments,uuid,YES,SKIPPED_HONEST,YES (asset.transfer notifs=489 — near 1:1 with assignments),YES (canonical=200),n/a,YES (TS workflow=dispatch-assignment=210 events · sample 215+),YES (audit_events=25847 platform-wide),YES (401 anon),VERIFIED,DB=490 · TS=210+ · notifs≈489,Strong end-to-end wiring
ROLL-OFF-01,Roll-Off,/dispatch-portal Roll-Off drawer,POST /api/dispatch/roll-off/*,dispatch,NO records in roll_off_assignments collection,unclear (may nest in dispatch_assignments.haul_type='roll_off'),n/a,NOT_VERIFIED,SKIPPED_HONEST,NOT_VERIFIED,NOT_VERIFIED,n/a,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,,"roll_off_assignments collection empty; Roll-Off may nest inside dispatch_assignments — needs deep trace"
PUB-INC-01,Public Incident (Field-safe),/incidents/public or /report-problem,POST /api/public/incident-submissions,anonymous,YES (2 records),incident_case_public_submissions,uuid,NOT_VERIFIED,SKIPPED_HONEST,NOT_VERIFIED,NOT_VERIFIED,n/a,NOT_VERIFIED,NOT_VERIFIED,YES (public writes only route defined data),VERIFIED_PARTIAL,DB=2 public submissions,Public submission writes are gated — no admin controls exposed
PUB-JHA-01,Public JHA lookup,/jha,GET only (public read),anonymous,YES (12 records readable),jhas,uuid,n/a,n/a,n/a,YES (public route reachable),NOT_VERIFIED,n/a,n/a,YES (public),VERIFIED_PARTIAL,,Read-only reference — no submission
PUB-SAFETY-TILE-01,Public Safety Tile,/trench-safety,none (public read only),anonymous,n/a,trench_safety_assets (read),n/a,n/a,n/a,n/a,YES,n/a,n/a,n/a,YES (no admin controls exposed),VERIFIED,Track 22.4 screenshot evidence,Field-safe UI · no admin leakage
NOTIF-01,Notifications overall,internal,internal,various,YES (11137 records),notifications,uuid,YES,SKIPPED_HONEST (11k notifs vs 0 real emails sent from preview),YES (8633 unread),YES (bell endpoint reads notifications),n/a,YES (partial coverage),YES (admin_audit_log=1128),YES (auth-gated),VERIFIED,DB counts,"Bell + internal notifications heavily used · Email delivery correctly killed in preview"
