forensic_surface_id,surface_scope,included_in_hidden_detail_113,included_in_route_non_primary_165,included_in_route_forensic_169,included_in_broad_forensic_305,family,source_file,source_line,surface_type,route_or_launch_point,parent_or_context,intended_audience,entry_path,navigation_source,role_requirements,hidden_state,origin_classification,final_disposition,canonical_relationship,certification_or_blocker_status,evidence_strength,evidence_summary,risk_summary,notes
OVERLAY-011,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/AttendeeBulkAddDialog.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/AttendeeBulkAddDialog.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/AttendeeBulkAddDialog.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-012,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/BackupHeroPanel.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/BackupHeroPanel.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/BackupHeroPanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-013,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/BannerAuditDialog.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/BannerAuditDialog.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/BannerAuditDialog.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-014,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/CompanyInfoDialog.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/CompanyInfoDialog.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/CompanyInfoDialog.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-015,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/CrewRecoveryPanel.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/CrewRecoveryPanel.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/CrewRecoveryPanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-016,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/EditProjectDialog.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/EditProjectDialog.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/EditProjectDialog.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-017,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/EmailReportDialog.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/EmailReportDialog.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/EmailReportDialog.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-018,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/EquipmentMasterPanel.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/EquipmentMasterPanel.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/EquipmentMasterPanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-019,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/IncidentLifecyclePanel.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/IncidentLifecyclePanel.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/IncidentLifecyclePanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-020,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/JhaAcknowledgeButton.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/JhaAcknowledgeButton.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/JhaAcknowledgeButton.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-021,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/LifecyclePanel.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/LifecyclePanel.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/LifecyclePanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-022,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/PhotoLightbox.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/PhotoLightbox.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/PhotoLightbox.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-023,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/QaqcLifecyclePanel.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/QaqcLifecyclePanel.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/QaqcLifecyclePanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-024,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/RestoreBackupPanel.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/RestoreBackupPanel.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/RestoreBackupPanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-025,overlay_surface,NO,NO,NO,YES,Safety Operations,components/SafetyFireExtManageDialog.jsx,,Dialog_surface,Dialog,,Safety Operations,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Safety Operations,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/SafetyFireExtManageDialog.jsx,IMPLEMENTED,LEDGER_ONLY,Source-inventory overlay from components/SafetyFireExtManageDialog.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-026,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/ShareFormDialog.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/ShareFormDialog.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/ShareFormDialog.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-027,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/SiteInspectionLifecyclePanel.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/SiteInspectionLifecyclePanel.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/SiteInspectionLifecyclePanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-028,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/UndoLastTransitionButton.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/UndoLastTransitionButton.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/UndoLastTransitionButton.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-029,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/admin/MappingCleanupTab.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/admin/MappingCleanupTab.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/admin/MappingCleanupTab.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-030,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/team/JobTeamRosterPanel.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/team/JobTeamRosterPanel.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/team/JobTeamRosterPanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-031,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/team/RemoveReasonDialog.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/team/RemoveReasonDialog.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/team/RemoveReasonDialog.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-032,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/ui/command.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/ui/command.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/ui/command.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-033,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,components/ui/dialog.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/ui/dialog.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from components/ui/dialog.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-034,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,index.js,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:index.js,MIGRATING,LEDGER_ONLY,Source-inventory overlay from index.js. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-035,overlay_surface,NO,NO,NO,YES,Administration,pages/AdminLeadershipEquipment.jsx,,Dialog_surface,Dialog,,Administration,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Administration,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:pages/AdminLeadershipEquipment.jsx,IMPLEMENTED,LEDGER_ONLY,Source-inventory overlay from pages/AdminLeadershipEquipment.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-036,overlay_surface,NO,NO,NO,YES,Administration,pages/AdminLegacyImports.jsx,,Dialog_surface,Dialog,,Administration,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Administration,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:pages/AdminLegacyImports.jsx,IMPLEMENTED,LEDGER_ONLY,Source-inventory overlay from pages/AdminLegacyImports.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-037,overlay_surface,NO,NO,NO,YES,Shared Operational Home and Public Entry,pages/DocumentExpirations.jsx,,Dialog_surface,Dialog,,Shared Operational Home and Public Entry,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Shared Operational Home and Public Entry,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:pages/DocumentExpirations.jsx,MIGRATING,LEDGER_ONLY,Source-inventory overlay from pages/DocumentExpirations.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
