line_id,business_object,producer,storage_or_authority,api_service_transform,consumer,trust_level,evidence_status,limitation,wp18_disposition,evidence_anchor
T11,Canonical Daily Report record,"Field/public submit flow","daily_reports","create_daily_report -> list/detail/export/evidence endpoints","PM/Admin daily readers; safety view; ODS ingest; OPPC consumers",HIGH,VERIFIED_TRACE,"Many downstream consumers make Daily Reports a major trust dependency",REUSE_AS_IS,"backend/routes/daily_reports.py:1230-1707; 1709-2174"
T12,Safety Daily Report projection,"daily_reports canonical records","daily_reports remains source of truth","GET /api/safety/daily-reports aggregate/project","Safety Portal read-only list",MEDIUM_HIGH,VERIFIED_TRACE,"Projection deliberately omits cost/labor detail and should not be treated as authority",REUSE_AS_IS,"backend/routes/safety_portal/daily_reports.py:4-18; 44-77"
T13,Daily Report to ODS facts and KPI snapshots,"create_daily_report best-effort ODS ingest; DR V2 manual ingest path","operational_facts + operational_kpi_snapshots","ODS routes and ODS intelligence aggregators","PM/Admin/Executive ODS dashboards and cards",MEDIUM_HIGH,VERIFIED_TRACE,"Derived intelligence store; not a replacement for raw operational truth",EXTEND,"backend/routes/daily_reports.py:1479-1490; backend/routes/ods.py:74-131; backend/services/ods_spine/store.py:18-21"
T14,Operational constraint record,"Constraint create/edit/resolve actions","operational_constraints","/api/constraints CRUD-like routes","Constraint UI surfaces only",MEDIUM,VERIFIED_TRACE,"No proven automatic downstream schedule or ODS consumer was found in this audit",CONNECT,"backend/routes/operational_constraints.py:228-497"
T15,Monday review workspace,"Schedule/actuals/payroll/task/trust-spine aggregators plus PM edits","jobs_master.oppc_monday_reviews","build_project_execution_workspace + monday-review APIs","PmMondayReviewWorkspace; briefing builders",MEDIUM_HIGH,VERIFIED_TRACE,"Workspace is connected, but upstream completeness still governs readiness",EXTEND,"backend/services/cost_codes/oppc_execution.py:174-730; backend/routes/oppc_execution.py:341-580"
T16,Monday briefing document,"OPPC workspace and confidence builders","oppc_monday_briefings","project/enterprise briefing build, approve, freeze, pdf","PmMondayReviewWorkspace; ExecutiveOperationalIntelligence briefing panel",MEDIUM_HIGH,VERIFIED_TRACE,"Derived briefing package; not a source-of-record replacement",REUSE_AS_IS,"backend/services/cost_codes/oppc_briefings.py:21-299; backend/routes/oppc_execution.py:208-311; 754-868"
T17,Executive operations center rollup,"Shared OPPC intelligence builders over project-level signals","Derived enterprise payload; upstream truth remains jobs_master assignments and related operational evidence","GET /api/oppc/enterprise/executive-operations-center","ExecutiveOperationalIntelligence OPPC panel; enterprise briefing builder",MEDIUM,VERIFIED_TRACE,"Enterprise layer is derivative and should remain explainable back to project-level truth",EXTEND,"backend/routes/oppc_execution.py:727-727; backend/services/cost_codes/oppc_briefings.py:169-225"
T18,Legacy operational intelligence digest,"Product aggregators via compose()","operational_intelligence_history + operational_intelligence_audit + recipient/group registries","preview/dispatch/summary/history/audit APIs","AdminOperationalIntelligence cockpit and recipient management",MEDIUM,VERIFIED_TRACE,"Package contains implemented and contract-only products; product-by-product suitability must be checked before reuse",CONSOLIDATE,"backend/operational_intelligence/routes.py:16-485; backend/operational_intelligence/engine.py:21-258"
T19,Fleet/shop operations telemetry intelligence,"Motive-synced mappings and event feeds","asset_mappings + employee_mappings + motive_events + dispatch_assignments","GET /api/operations/intelligence*","Operations/shop telemetry surfaces",MEDIUM,VERIFIED_TRACE,"Project-controls relevance is indirect; this is not the project-control source of truth",CONSOLIDATE,"backend/routes/operations_intelligence.py:5-18; 68-196; 203-559"
T20,Manual integration mappings,"CSV importer using equipment_master/employees anchors","asset_mappings + employee_mappings","import/export CSV routes","Admin integration fallback operators; downstream mapping consumers",MEDIUM,VERIFIED_TRACE,"Explicitly manual fallback until provider credentials/integrations exist",REUSE_AS_IS,"backend/routes/integrations/imports_exports.py:1-335"
