decision_id,capability,current_architecture_assessment,enterprise_scalability_assessment,long_term_technical_debt_risk,recommended_disposition,avoids_future_rewrite,primary_evidence,operational_impact,implementation_risk,dependencies,alternatives_considered
D11,Constraint architecture,"Real standing blocker workflow exists and daily field constraint facts also exist.","Usable, but current architecture is constitutionally split and not fully bound into schedule/KPI hierarchy.",High,Extend,Yes if split is formalized instead of denied,"backend/routes/operational_constraints.py:1-19,67-121,228-260; WP18BR_EXECUTIVE_RATIFICATION_REPORT.md:60-66",Prevents hidden blockers from disappearing into notes,Medium,"Daily Reports; PM command; future schedule/KPI binding","Treating operational_constraints alone as the whole truth was rejected."
D12,Resource federation,"Demand, roster, and dispatch already exist, but as federated owners.","Enterprise potential exists, but a singular resource hierarchy was not proven and could drift under acquisitions.",High,Consolidate,Yes if semantic federation is locked now,"backend/services/cost_codes/foundation.py:173-191; backend/routes/project_team_assignments.py:878-1160; WP18BR_PROJECT_CONTROLS_CONSTITUTIONAL_RATIFICATION.md:16",Reduces parallel staffing/supply planning,High,"Assignments; roster; dispatch; governance","Building one monolithic resource table was rejected."
D13,Equipment identity and deployment,"Asset Spine is strong; provider-local mappings and deployment contexts still create split seams.","Better than project-only equipment models, but clean acquisition-scale identity is not yet fully resolved.",High,Consolidate,Yes if Asset Spine remains the permanent registry core,"backend/routes/asset_spine.py:1-19,37-82,223-259; WP18BR_EXECUTIVE_RATIFICATION_REPORT.md:68-70",Avoids duplicate fleet/equipment masters,High,"Asset Spine; provider mappings; dispatch deployment","New equipment master outside Asset Spine was rejected."
D14,Project Health,"Read-side friction summary is explicitly derived and non-duplicative.","Reusable derived view, but not a constitutional enterprise owner and not a finance substitute.",Medium,Reuse,Yes,"backend/routes/project_health.py:4-7,97-206,217-260",Provides useful operational attention without mutating truth,Low,"Tasks; PO requests; docs; incidents; corrective actions","Promoting Project Health into source-of-truth authority was rejected."
D15,ODS intelligence and executive rollups,"Additive read surface is real and clearly bounded.","Useful enterprise visibility layer, but hardcoded tenant assumptions, sampling, and multi-second rollups bound current scale posture.",Very high,Consolidate,Yes if hierarchy and performance are fixed before growth,"backend/routes/ods_intelligence.py:1-6,29,71-123,312-425,462-494; OPPC_PERFORMANCE_SCALABILITY_VALIDATION.md:24-27",Can become the executive window if semantic overlap is reduced,High,"Operational facts/snapshots; KPI hierarchy; caching/materialization","Treating ODS as an authoritative writer was rejected."
D16,Operational KPI company rollups,"Company-wide KPI aggregation exists for safety and is explicitly no-cost.","Helpful proof of aggregation capability, but fixed tenant assumptions and capped fan-out show bounded enterprise scale.",High,Extend,No if left unchanged at scale,"backend/routes/operational_kpis.py:128-193",Shows real portfolio aggregation while preserving read-only posture,Medium,"jobs_master; operational_facts; aggregator spine","Converting KPI views into financial/source truth was rejected."
D17,Legacy operational intelligence digest engine,"A separate digest engine with audit/history/dedupe still exists and admits contract-registered but not implemented products.","At enterprise scale this overlap increases semantic and operational complexity versus a single executive intelligence hierarchy.",High,Retire,Yes if retired into the consolidated intelligence hierarchy,"backend/operational_intelligence/routes.py:16-76; backend/operational_intelligence/engine.py:17-24,122-129",Reduces duplicate executive signal lanes,Medium,"ODS/Project Health/OPPC executive hierarchy decision","Keeping two overlapping executive intelligence regimes was rejected."
D18,AI admin / translation / briefing assist,"Bounded AI capability exists for config, translation, and executive/PM brief generation.","Useful assistive layer, but not safe as a truth owner while budget, EV, and KPI hierarchy gaps remain.",High,Extend,Yes if AI remains a consumer not an owner,"backend/routes/ai_admin_config.py:1-15,47-52,155-193; backend/routes/translation.py:1-18,57-130; backend/routes/ods_intelligence.py:172-219,421-425",Allows assistance without corrupting canonical data ownership,Medium,"Canonical upstream truth; admin controls; executive hierarchy","Letting AI define or replace truth was rejected."
D19,Governance and audit backbone,"Governed-action checks and trust/audit patterns are already embedded through major routes.","Good architectural discipline exists, but enterprise-wide authority matrices are still incomplete for some domains.",Medium,Reuse,Yes,"backend/routes/cost_codes.py:304-320; backend/routes/ods_intelligence.py:320-327,396-403; backend/routes/project_health.py:222-229",Supports future controls without redoing access discipline,Low,"Authority matrix completion; workflow-state continuity","A second governance framework was rejected."
D20,Operator routing and portal discoverability,"The platform exposes many explicit role routes and workspaces.","Breadth exists, but intuitive enterprise-scale workflow proof was not evidenced by source telemetry or direct enterprise validation.",High,Extend,No if route breadth keeps growing without hierarchy cleanup,"frontend/src/app/routing/AppRoutes.jsx:1-320; WP18BR_PROJECT_CONTROLS_CONSTITUTIONAL_RATIFICATION.md:84-102",Improves adoption only if naming/hierarchy stays coherent,Medium,"Portal shells; role taxonomy; executive naming","Assuming route count equals enterprise UX readiness was rejected."
D21,Enterprise operating model (company/division/region/tenant hierarchy),"Partial local fields exist, but no cross-domain authoritative enterprise hierarchy was evidenced.","Current source shows single-tenant MASCI defaults in key readers; multi-company acquisition-safe operation is not constitutionally proven.",Very high,Build New,Yes if established before enterprise expansion,"backend/routes/ods_intelligence.py:29,75-83,367-371; backend/routes/operational_kpis.py:173-187; backend/routes/ai_admin_config.py:47-52; backend/routes/asset_spine.py:65-82",Would prevent future ad hoc multi-company forks,Very high,"Project identity; ODS; KPI; asset; AI and reporting surfaces","Pretending the current tenant hints are already enough was rejected."
D22,Budget hierarchy,"No canonical budget baseline, hierarchy, allocation owner, or variance engine was evidenced.","Cannot scale into enterprise finance or acquisitions without a real budget constitution.",Very high,Build New,Yes if built on top of reused upstream truths,"backend/routes/po_requests.py:580-711; backend/routes/project_health.py:97-206; backend/routes/operational_kpis.py:16-18; WP18BR_EXECUTIVE_RATIFICATION_REPORT.md:120-149",Blocks finance-grade project controls today,Very high,"Project identity; cost-code planning; procurement/change adjacency; executive hierarchy","Using PO approvals or dashboards as budget authority was rejected."
D23,Earned value,"No engine, formulas, store, or authoritative API was evidenced.","Cannot scale truthful executive cost/schedule performance reporting without first creating budget authority.",Very high,Build New,Yes if strictly derived after budget exists,"WP18BR_EXECUTIVE_RATIFICATION_REPORT.md:132-149; WP18B_PROJECT_CONTROLS_READINESS_AUDIT.md:196-200",Blocks truthful CPI/SPI style enterprise reporting,Very high,"Budget hierarchy; schedule; actual progress truth","Rebranding confidence or recovery metrics as earned value was rejected."
