route,portal,page_component,shell_implementation,header_implementation,logo_asset,rendered_logo_dimensions,header_height,background_treatment,primary_colors,font_family,title_size,body_size,content_width,left_right_padding,card_style,button_style,form_style,sidebar_style,responsive_behavior,duplicate_components_used,hard_coded_styling,known_exceptions,remediation_action,visual_drift_categories
/safety/cards,Safety,FieldSafetyCards,Route-local shell,Legacy local header,MasciLogo,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"red,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-lg,pending live measurement,mixed/local,canonical button set,route-local / n/a,none/local,pending viewport certification,local-logo; local-lang-toggle; custom-dialog; legacy-local-header,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,header; navigation; spacing
/field,Field,FieldSection,PortalShell,Canonical platform header,MasciLogo,pending screenshot certification,pending screenshot certification,Mixed / local,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-6xl,pending live measurement,wp17-panel/wp17-form-frame,native/mixed,route-local / n/a,PortalShell responsive nav,pending viewport certification,,yes,none documented,Visual recertification / remove local overrides,certification pending
/field/calculators,Field,MaterialCalculators,PortalShell,Canonical platform header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-5xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,route-local / n/a,PortalShell responsive nav,pending viewport certification,local-lang-toggle; legacy-help-tip,yes,none documented,Audit coaching treatment and reduce duplicated help bands,coaching
/qaqc,QAQC,QaqcSection,PortalShell,Canonical platform header,MasciLogo,pending screenshot certification,pending screenshot certification,Mixed / local,"red,amber,emerald,cyan,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-6xl,pending live measurement,wp17-panel/wp17-form-frame,native/mixed,route-local / n/a,PortalShell responsive nav,pending viewport certification,,yes,none documented,Visual recertification / remove local overrides,certification pending
/qa-qc,Shared/Public,unresolved,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Mixed / local,pending,mixed/local,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,minimal,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/qaqc/:slug/new,QAQC,NewQaqcInspection,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-3xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,legacy-help-tip,yes,none documented,Audit coaching treatment and reduce duplicated help bands,coaching
/qaqc/:id,QAQC,ViewQaqcInspection,Route-local shell,Legacy local header,MasciLogo,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"red,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-4xl,pending live measurement,mixed/local,canonical button set,route-local / n/a,none/local,pending viewport certification,local-logo; local-lang-toggle,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,header
/admin/qaqc,Admin,AdminQaqcList,PortalShell,Canonical platform header,MasciLogo,pending screenshot certification,pending screenshot certification,Mixed / local,"red,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-6xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,route-local / n/a,PortalShell responsive nav,pending viewport certification,,yes,none documented,Visual recertification / remove local overrides,certification pending
/admin/transportation/*,Admin,AdminTransportation,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Mixed / local,pending,mixed/local,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,minimal,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/transportation-operations/*,Shared/Public,AdminTransportation,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Mixed / local,pending,mixed/local,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,minimal,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/admin/photos,Admin,JobPhotosLibrary,PortalShell,Canonical platform header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-7xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,route-local / n/a,PortalShell responsive nav,pending viewport certification,,yes,none documented,Visual recertification / remove local overrides,certification pending
/constraints,Shared/Public,Constraints,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Flat slate background,"amber,emerald,slate",mixed/local,pending live measurement,pending live measurement,max-w-3xl,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/constraints/new,Shared/Public,NewConstraint,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-2xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,,yes,none documented,Visual recertification / remove local overrides,certification pending
/constraints/:id,Shared/Public,ConstraintDetail,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Flat slate background,"red,emerald,slate",mixed/local,pending live measurement,pending live measurement,max-w-3xl,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/leadership,Shared/Public,FieldLeadershipHub,PortalShell,Canonical platform header,MasciLogo,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"red,amber,emerald,cyan,orange,purple,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,route-local / n/a,PortalShell responsive nav,pending viewport certification,local-logo; local-lang-toggle; legacy-attribution; legacy-local-header,yes,none documented,Visual recertification / remove local overrides,certification pending
/leadership/hub_v2,Shared/Public,unresolved,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Mixed / local,pending,mixed/local,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,minimal,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/leadership/records,Shared/Public,FieldLeadershipRecords,PortalShell,Canonical platform header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,route-local / n/a,PortalShell responsive nav,pending viewport certification,legacy-help-tip,yes,none documented,Audit coaching treatment and reduce duplicated help bands,coaching
/leadership/records/:id,Shared/Public,FieldLeadershipView,PortalShell,Canonical platform header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-5xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,route-local / n/a,PortalShell responsive nav,pending viewport certification,,yes,none documented,Move table to canonical table shell,tables
/leadership/:kind/new,Shared/Public,FieldLeadershipFormPage,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-md,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,local-logo; local-lang-toggle; legacy-help-tip,yes,none documented,Audit coaching treatment and reduce duplicated help bands,coaching
/safety/inspections/new,Safety,NewInspection,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Mixed / local,"red,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-4xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,legacy-help-tip,yes,none documented,Audit coaching treatment and reduce duplicated help bands,coaching
/inspect/new,Shared/Public,unresolved,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Mixed / local,pending,mixed/local,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,minimal,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/submit,Shared/Public,unresolved,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Mixed / local,pending,mixed/local,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,minimal,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/inspections/submit,Shared/Public,unresolved,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Mixed / local,pending,mixed/local,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,minimal,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/inspections/new,Shared/Public,unresolved,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Mixed / local,pending,mixed/local,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,minimal,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/meetings/new,Meetings,NewMeeting,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-4xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,legacy-help-tip,yes,none documented,Visual recertification / remove local overrides,certification pending
/meetings/submit,Meetings,NewMeeting,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-4xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,legacy-help-tip,yes,none documented,Visual recertification / remove local overrides,certification pending
/jha,JHA,JhaPlansHub,PortalShell,Canonical platform header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-5xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,route-local / n/a,PortalShell responsive nav,pending viewport certification,legacy-help-tip,yes,none documented,Audit coaching treatment and reduce duplicated help bands,coaching
/jha/submit,JHA,unresolved,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Mixed / local,pending,mixed/local,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,minimal,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/jha/new,JHA,unresolved,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Mixed / local,pending,mixed/local,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,minimal,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/trench-boxes,Shared/Public,unresolved,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Mixed / local,pending,mixed/local,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,minimal,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/trench-safety,Shared/Public,trench_safety/PublicTrenchSafetyDashboard,Route-local shell,Legacy local header,none/unknown,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"red,amber,cyan,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-3xl,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,legacy-local-header,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,header
/trench-safety/tabulated-data,Shared/Public,trench_safety/PublicTrenchSafetyTabulatedData,Route-local shell,Legacy local header,none/unknown,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"red,amber,cyan,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-3xl,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,legacy-local-header,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,header
/trench-safety/references,Shared/Public,trench_safety/PublicTrenchSafetyReferences,Route-local shell,Legacy local header,none/unknown,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"red,amber,cyan,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-3xl,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,legacy-local-header,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,header
/trench-safety/report,Shared/Public,trench_safety/PublicTrenchSafetyReport,Route-local shell,Legacy local header,none/unknown,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"amber,cyan,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-3xl,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,legacy-local-header,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,header
/trench-safety/assets/:assetId,Shared/Public,trench_safety/TrenchSafetyQrLanding,Route-local shell,Legacy local header,none/unknown,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"red,amber,emerald,cyan,orange,purple,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-md,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,legacy-local-header,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,header
/transport-invite/:token,Shared/Public,transportation/ExternalCarrierInvite,Route-local shell,Legacy local header,MasciLogo,pending screenshot certification,pending screenshot certification,WP17 grid + glass,"red,amber,emerald,slate",mixed/local,pending live measurement,pending live measurement,max-w-xl,pending live measurement,wp17-panel/wp17-form-frame,native/mixed,route-local / n/a,none/local,pending viewport certification,local-logo; legacy-attribution,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,header; navigation; typography
/transport-verify/:cnum,Shared/Public,transportation/CertificateVerify,Route-local shell,Legacy local header,MasciLogo,pending screenshot certification,pending screenshot certification,WP17 grid + glass,"red,amber,emerald,slate",mixed/local,pending live measurement,pending live measurement,max-w-5xl,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,local-logo; legacy-attribution,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,header; navigation
/incidents/new,Incidents,unresolved,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Mixed / local,pending,mixed/local,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,minimal,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/incidents/submit,Incidents,unresolved,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Mixed / local,pending,mixed/local,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,minimal,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/incidents/report,Incidents,IncidentReport,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-2xl,pending live measurement,wp17-panel/wp17-form-frame,native/mixed,FormShell,none/local,pending viewport certification,,yes,none documented,Visual recertification / remove local overrides,certification pending
/near-miss,Shared/Public,NearMissKiosk,Route-local shell,Legacy local header,none/unknown,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-xs,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,local-lang-toggle,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,header; forms
/safety/cases/:caseId,Safety,SafetyCaseWorkspace,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,purple,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-md,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/safety/incidents/:caseId/thread,Safety,SafetyIncidentThread,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Flat slate background,"red,slate",mixed/local,pending live measurement,pending live measurement,max-w-5xl,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/safety/executive-intelligence,Safety,ExecutiveIntelligence,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,orange,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-md,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/safety/cases/:caseId/reports/:reportType,Safety,IncidentReportViewer,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,orange,slate",mixed/local,pending live measurement,pending live measurement,max-w-4xl,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,tables; typography
/safety/cases/:caseId/executive-report,Safety,ExecutiveCaseReport,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,cyan,orange,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-md,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,tables
/daily/new,Shared/Public,unresolved,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Mixed / local,pending,mixed/local,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,minimal,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/daily/submit,Shared/Public,NewDailyReportV3,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Mixed / local,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-3xl,pending live measurement,wp17-panel/wp17-form-frame,native/mixed,FormShell,none/local,pending viewport certification,,yes,none documented,Visual recertification / remove local overrides,certification pending
/equipment/new,Equipment,NewEquipmentInspection,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-4xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,legacy-help-tip,yes,none documented,Visual recertification / remove local overrides,certification pending
/equipment/submit,Equipment,NewEquipmentInspection,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-4xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,legacy-help-tip,yes,none documented,Visual recertification / remove local overrides,certification pending
/equipment/:id,Equipment,unresolved,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,Mixed / local,pending,mixed/local,pending live measurement,pending live measurement,fluid/mixed,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,minimal,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,certification pending
/fleet/dvir/new,Fleet,NewFleetDVIR,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-md,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,legacy-help-tip,yes,none documented,Visual recertification / remove local overrides,certification pending
/fleet/dvir/submit,Fleet,NewFleetDVIR,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-md,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,legacy-help-tip,yes,none documented,Visual recertification / remove local overrides,certification pending
/fleet/weekly-lead/new,Fleet,NewFleetDVIR,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-md,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,legacy-help-tip,yes,none documented,Visual recertification / remove local overrides,certification pending
/fleet/weekly-emergency/new,Fleet,NewFleetDVIR,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-md,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,legacy-help-tip,yes,none documented,Visual recertification / remove local overrides,certification pending
/fleet/dvir/submitted/:id,Fleet,FleetDVIRConfirmation,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Mixed / local,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-3xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,,yes,none documented,Visual recertification / remove local overrides,coaching
/thank-you,Shared/Public,ThankYou,Route-local shell,Legacy local header,MasciLogo,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-3xl,pending live measurement,mixed/local,canonical button set,route-local / n/a,none/local,pending viewport certification,local-logo; local-lang-toggle; legacy-local-header,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,header
/cheatsheet,Shared/Public,CheatSheet,Route-local shell,Legacy local header,none/unknown,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"red,slate",mixed/local,pending live measurement,pending live measurement,max-w-5xl,pending live measurement,mixed/local,canonical button set,route-local / n/a,none/local,pending viewport certification,local-lang-toggle; legacy-local-header,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,header
