finding_id,route,portal,device_class,drift_category,affected_component,current_implementation,canonical_implementation,current_measured_value,required_canonical_value_or_token,source_file,line_or_component_reference,shared_root_cause,number_of_routes_affected,remediation_method,status,migration_evidence,screenshot_evidence,automated_test_reference,exception_reference,reviewer,verification_date
DRIFT-0011,/transport-invite/:token,Shared/Public,desktop/tablet/mobile pending certification,headers,transportation/ExternalCarrierInvite,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,transportation/ExternalCarrierInvite,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0012,/transport-verify/:cnum,Shared/Public,desktop/tablet/mobile pending certification,headers,transportation/CertificateVerify,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,transportation/CertificateVerify,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0013,/near-miss,Shared/Public,desktop/tablet/mobile pending certification,headers,NearMissKiosk,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,NearMissKiosk,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0014,/thank-you,Shared/Public,desktop/tablet/mobile pending certification,headers,ThankYou,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ThankYou,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0015,/cheatsheet,Shared/Public,desktop/tablet/mobile pending certification,headers,CheatSheet,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,CheatSheet,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0016,/trench-safety/excavation/new,Shared/Public,desktop/tablet/mobile pending certification,headers,trench_safety/PublicExcavationForm,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,trench_safety/PublicExcavationForm,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0017,/admin/inspections/:id,Admin,desktop/tablet/mobile pending certification,headers,ViewInspection,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewInspection,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0018,/admin/meetings/:id,Admin,desktop/tablet/mobile pending certification,headers,ViewMeeting,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewMeeting,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0019,/admin/trench-boxes/poster,Admin,desktop/tablet/mobile pending certification,headers,TrenchBoxPoster,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,TrenchBoxPoster,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0020,/admin/jha-plans/poster,Admin,desktop/tablet/mobile pending certification,headers,JhaPlansPoster,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,JhaPlansPoster,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0021,/admin/posters/print-all,Admin,desktop/tablet/mobile pending certification,headers,AllPostersPrint,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,AllPostersPrint,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0022,/admin/incidents/:id,Admin,desktop/tablet/mobile pending certification,headers,ViewIncident,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewIncident,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0023,/admin/daily/:id,Admin,desktop/tablet/mobile pending certification,headers,ViewDailyReport,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewDailyReport,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0024,/admin/equipment/:id,Admin,desktop/tablet/mobile pending certification,headers,ViewEquipmentInspection,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewEquipmentInspection,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0025,/admin/qaqc/:id,Admin,desktop/tablet/mobile pending certification,headers,ViewQaqcInspection,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewQaqcInspection,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0026,/admin/safety/issuance/:id,Admin,desktop/tablet/mobile pending certification,headers,ViewSafetyForm,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewSafetyForm,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0027,/admin/safety/training/:id,Admin,desktop/tablet/mobile pending certification,headers,ViewSafetyForm,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewSafetyForm,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0028,/pm/daily/:id,PM,desktop/tablet/mobile pending certification,headers,ViewDailyReport,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewDailyReport,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0029,/pm/incidents/:id,PM,desktop/tablet/mobile pending certification,headers,ViewIncident,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewIncident,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0030,/pm/meetings/:id,PM,desktop/tablet/mobile pending certification,headers,ViewMeeting,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewMeeting,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0031,/pm/inspections/:id,PM,desktop/tablet/mobile pending certification,headers,ViewInspection,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewInspection,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0032,/pm/equipment/:id,PM,desktop/tablet/mobile pending certification,headers,ViewEquipmentInspection,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewEquipmentInspection,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0033,/shop/equipment/:id,Shop,desktop/tablet/mobile pending certification,headers,ViewEquipmentInspection,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewEquipmentInspection,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0034,/sign-in,Shared/Public,desktop/tablet/mobile pending certification,headers,SignIn,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,SignIn,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0035,/hr/daily-reports/:id,HR,desktop/tablet/mobile pending certification,headers,ViewDailyReport,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewDailyReport,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0036,/time-off/public/:token,Shared/Public,desktop/tablet/mobile pending certification,headers,PublicTimeOff,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,PublicTimeOff,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0037,/safety-portal/incidents/:id,Safety,desktop/tablet/mobile pending certification,headers,ViewIncident,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewIncident,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0038,/safety-portal/meetings/:id,Safety,desktop/tablet/mobile pending certification,headers,ViewMeeting,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewMeeting,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0039,/safety-portal/inspections/:id,Safety,desktop/tablet/mobile pending certification,headers,ViewInspection,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewInspection,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0040,/access-denied,Shared/Public,desktop/tablet/mobile pending certification,headers,AccessDenied,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,AccessDenied,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0041,*,Shared/Public,desktop/tablet/mobile pending certification,headers,NotFound,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,NotFound,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0042,/revise/:token,Shared/Public,desktop/tablet/mobile pending certification,forms,Revise,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,Revise,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0043,/near-miss,Shared/Public,desktop/tablet/mobile pending certification,forms,NearMissKiosk,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,NearMissKiosk,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0044,/sign-in,Shared/Public,desktop/tablet/mobile pending certification,forms,SignIn,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,SignIn,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0045,/safety/forms/equipment-issuance/new,Safety,desktop/tablet/mobile pending certification,coaching,NewSafetyEquipmentIssuance,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,NewSafetyEquipmentIssuance,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0046,/safety/forms/equipment-training/new,Safety,desktop/tablet/mobile pending certification,coaching,NewSafetyEquipmentTraining,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,NewSafetyEquipmentTraining,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0047,/field/calculators,Field,desktop/tablet/mobile pending certification,coaching,MaterialCalculators,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,MaterialCalculators,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0048,/qaqc/:slug/new,QAQC,desktop/tablet/mobile pending certification,coaching,NewQaqcInspection,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,NewQaqcInspection,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0049,/leadership/records,Shared/Public,desktop/tablet/mobile pending certification,coaching,FieldLeadershipRecords,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,FieldLeadershipRecords,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0050,/leadership/:kind/new,Shared/Public,desktop/tablet/mobile pending certification,coaching,FieldLeadershipFormPage,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,FieldLeadershipFormPage,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0051,/safety/inspections/new,Safety,desktop/tablet/mobile pending certification,coaching,NewInspection,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,NewInspection,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0052,/jha,JHA,desktop/tablet/mobile pending certification,coaching,JhaPlansHub,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,JhaPlansHub,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0053,/fleet/dvir/submitted/:id,Fleet,desktop/tablet/mobile pending certification,coaching,FleetDVIRConfirmation,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,FleetDVIRConfirmation,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0054,/daily-reports,Shared/Public,desktop/tablet/mobile pending certification,coaching,DailyReportsDashboard,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,DailyReportsDashboard,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0055,/admin/daily,Admin,desktop/tablet/mobile pending certification,coaching,DailyReportsDashboard,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,DailyReportsDashboard,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0056,/admin/leadership/records,Admin,desktop/tablet/mobile pending certification,coaching,FieldLeadershipRecords,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,FieldLeadershipRecords,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0057,/pm/daily,PM,desktop/tablet/mobile pending certification,coaching,DailyReportsDashboard,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,DailyReportsDashboard,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
