status,path,class,package,runtime_impact,data_impact,permission_impact,rollback_impact,certification_evidence
D,.screenshots/audit_dispatch_hub.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_dvir_submit.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_equip_issuance.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_equip_training.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_equipment_submit.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_guidance.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_hr_hub.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_hr_time_off.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_hr_time_verify.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_incidents_report.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_meetings_submit.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_pm_command.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_pm_hub.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_pm_schedule.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_safety_forms.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_safety_hub.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_safety_incidents.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_safety_inspect.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_safety_meetings.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_shop_asset.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_shop_hub.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_training.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/gate_test_results.json,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/gate_test_results_corrected.json,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/incident_authorization_final.json,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Documentation or legacy evidence
D,.screenshots/reg_001_forms_records_pass.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/reg_002_incident_detail_pass.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/reg_003_meeting_detail_pass.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/reg_004_inspection_detail_pass.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/second_frontend_cert_part2_results.json,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/w5_004_equipment_issuance_pass.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/w5_005_equipment_return_fail.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/w5_007_equipment_training_pass.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/w5_018_executive_summary_pass.png,generated artifact,WP18CX,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP18CX closeout docs + iterations 117-121
D,.screenshots/w5_019_executive_report_fail.png,generated artifact,WP18CX,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP18CX closeout docs + iterations 117-121
D,.screenshots/wp16_w2_006_admin_0s.jpeg,generated artifact,WP16,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Documentation or legacy evidence
D,.screenshots/wp16_w2_006_admin_10s.jpeg,generated artifact,WP16,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Documentation or legacy evidence
D,.screenshots/wp16_w2_006_admin_15s.jpeg,generated artifact,WP16,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Documentation or legacy evidence
D,.screenshots/wp16_w2_006_admin_5s.jpeg,generated artifact,WP16,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Documentation or legacy evidence
D,.screenshots/wp16_w2_007_shop_hub_legacy_initial.jpeg,generated artifact,WP16,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/wp16_w2_regression_admin_overview.jpeg,generated artifact,WP16,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Documentation or legacy evidence
D,.screenshots/wp16_w2_regression_hr.jpeg,generated artifact,WP16,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/wp16_w2_regression_pm_hub.jpeg,generated artifact,WP16,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/wp16_w2_regression_safety.jpeg,generated artifact,WP16,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
M,README.md,documentation-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
A,ROADMAP.md,documentation-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
M,WP16_WAVE5_SAFETY_INSPECTION_REPORT.md,documentation-only,WP16,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
M,WP16_WAVE6_BACKEND_INSPECTION_REPORT.md,documentation-only,WP16,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
A,WP17B_COACHING_STANDARD.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17B_COMPONENT_AUDIT.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17B_DASHBOARD_AUDIT.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17B_DESIGN_SYSTEM_STANDARD.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17B_EXECUTIVE_REPAIR_REGISTER.md,documentation-only,WP18CX,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP18CX closeout docs + iterations 117-121
A,WP17B_FORM_AUDIT.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17B_ICON_AUDIT.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17B_IMPLEMENTATION_ROADMAP.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17B_INFORMATION_ARCHITECTURE.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17B_NAVIGATION_AUDIT.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17B_PLATFORM_MASTER_INVENTORY.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17B_TERMINOLOGY_STANDARD.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17B_WHITE_LABEL_STANDARD.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17B_WORKFLOW_AUDIT.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17C_CANONICAL_PAGE_ANATOMY.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17C_CANONICAL_SHELL_STANDARD.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17C_COMPONENT_FOUNDATION.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17C_DESIGN_TOKEN_STANDARD.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17C_EXECUTIVE_CLOSEOUT.md,documentation-only,WP18CX,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP18CX closeout docs + iterations 117-121
A,WP17C_FOUNDATION_REGRESSION_REPORT.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17C_ICON_SYSTEM_STANDARD.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17C_IMPLEMENTATION_LEDGER.csv,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17C_INFORMATION_ARCHITECTURE_CANON.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17C_NAVIGATION_CANON.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17C_PORTAL_MISSION_AND_ENTRY_ARCHITECTURE.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17C_REPRESENTATIVE_IMPLEMENTATION_REPORT.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17D_ACTIVE_DEFECT_REGISTER.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17D_COMPONENT_MIGRATION_REPORT.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17D_EXECUTIVE_CLOSEOUT.md,documentation-only,WP18CX,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP18CX closeout docs + iterations 117-121
A,WP17D_FORM_CONVERGENCE_REPORT.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17D_FUNCTIONAL_REGRESSION_REPORT.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17D_GLASS_AND_GRID_IMPLEMENTATION_REPORT.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17D_ICON_MIGRATION_REPORT.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17D_NAVIGATION_CONVERGENCE_REPORT.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17D_PORTAL_MIGRATION_RUNBOOK.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17D_RESPONSIVE_CERTIFICATION.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17D_TABLE_CONVERGENCE_REPORT.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
A,WP17D_WHITE_LABEL_VALIDATION.md,documentation-only,WP17,No direct runtime impact,None or indirect,No known permission model change,Revert file only,WP17 closeout docs + UI regression evidence
M,auth_investigation_test.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Test evidence only
M,auth_session_consistency_results.json,documentation-only,Cross-release / infra,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Documentation or legacy evidence
M,auth_session_consistency_test.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Test evidence only
M,auth_testing.md,documentation-only,Cross-release / infra,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Documentation or legacy evidence
M,backend/guidance/translations_es.py,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
M,backend/lib/database_client_governance.py,backend,Cross-release / infra,API/runtime logic changes in deployed bundle,May read/write production Mongo depending on code path,No known permission model change,Revert code + restart affected services,Documentation or legacy evidence
M,backend/lib/notification_delivery.py,backend,WP18CY,API/runtime logic changes in deployed bundle,May read/write production Mongo depending on code path,No known permission model change,Revert code + restart affected services,WP18CY / WP18CY.2 / WP18CY.3 test reports and runtime evidence
M,backend/routes/admin_dr_delivery_forensics.py,backend,WP18CY,API/runtime logic changes in deployed bundle,May read/write production Mongo depending on code path,Touches auth/role or admin visibility,Revert code + restart affected services,WP18CY / WP18CY.2 / WP18CY.3 test reports and runtime evidence
M,backend/routes/admin_persistence_health.py,backend,Cross-release / infra,API/runtime logic changes in deployed bundle,May read/write production Mongo depending on code path,Touches auth/role or admin visibility,Revert code + restart affected services,Documentation or legacy evidence
M,backend/routes/daily_reports.py,backend,WP18CY,API/runtime logic changes in deployed bundle,Writes/reads production collections if executed,No known permission model change,Revert code + restart affected services,WP18CY / WP18CY.2 / WP18CY.3 test reports and runtime evidence
M,backend/routes/enterprise_governance.py,backend,Cross-release / infra,API/runtime logic changes in deployed bundle,Writes/reads production collections if executed,No known permission model change,Revert code + restart affected services,Documentation or legacy evidence
M,backend/routes/qaqc.py,backend,Cross-release / infra,API/runtime logic changes in deployed bundle,May read/write production Mongo depending on code path,No known permission model change,Revert code + restart affected services,Documentation or legacy evidence
M,backend/scripts/field_trial_runner.py,migration/backfill,Cross-release / infra,Operational script/backfill behavior if invoked,May read/write production Mongo depending on code path,No known permission model change,Forward-repair/review required before rollback if executed,Documentation or legacy evidence
M,backend/scripts/iter348_fl_bulk_create.py,migration/backfill,Cross-release / infra,Operational script/backfill behavior if invoked,May read/write production Mongo depending on code path,No known permission model change,Forward-repair/review required before rollback if executed,Documentation or legacy evidence
M,backend/server.py,backend,Cross-release / infra,API/runtime logic changes in deployed bundle,May read/write production Mongo depending on code path,No known permission model change,Revert code + restart affected services,Documentation or legacy evidence
M,backend/services/cost_codes/foundation.py,backend,Cross-release / infra,API/runtime logic changes in deployed bundle,Writes/reads production collections if executed,No known permission model change,Revert code + restart affected services,Documentation or legacy evidence
A,backend/services/enterprise_hierarchy_foundation.py,backend,WP18C1,API/runtime logic changes in deployed bundle,May read/write production Mongo depending on code path,No known permission model change,Revert code + restart affected services,WP18C1 closeout docs + matching backend tests
M,backend/services/operations_control/control_plane.py,backend,WP18CY,API/runtime logic changes in deployed bundle,May read/write production Mongo depending on code path,No known permission model change,Revert code + restart affected services,WP18CY / WP18CY.2 / WP18CY.3 test reports and runtime evidence
A,backend/services/project_budget_authority.py,backend,WP18C3,API/runtime logic changes in deployed bundle,Writes/reads production collections if executed,Touches auth/role or admin visibility,Revert code + restart affected services,WP18C3 closeout docs + matching backend tests
A,backend/services/project_controls_authority.py,backend,WP18C2,API/runtime logic changes in deployed bundle,Writes/reads production collections if executed,Touches auth/role or admin visibility,Revert code + restart affected services,WP18C2 closeout docs + matching backend tests
A,backend/services/project_operational_intelligence.py,backend,WP18C6,API/runtime logic changes in deployed bundle,May read/write production Mongo depending on code path,No known permission model change,Revert code + restart affected services,WP18C6 closeout docs + matching backend tests
A,backend/services/project_schedule_actuals_spine.py,backend,WP18C5,API/runtime logic changes in deployed bundle,Writes/reads production collections if executed,No known permission model change,Revert code + restart affected services,WP18C5 closeout docs + matching backend tests
A,backend/services/project_schedule_authority.py,backend,WP18C4,API/runtime logic changes in deployed bundle,Writes/reads production collections if executed,Touches auth/role or admin visibility,Revert code + restart affected services,WP18C4 closeout docs + matching backend tests
M,backend/tests/runtime_cert/phase56_notify_audit_proof.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/runtime_cert/phase9_safety_meeting_live_cert.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/runtime_cert/seed_runtime_cert_users.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_asset_spine_api_live.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_bcss_checkpoint5_comprehensive.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_bcss_s1_2_s1_3_verification.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_c2_15_16_server_side_logout.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_c2_deployment_governance.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_dcp1_driver_profile.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_dr03_gate5_e2e.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_dr_roi_001c_phase_c_e2e.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_dr_roi_001d_review.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_dsi1_dispatch_intelligence.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_family_3a_bounded.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_family_3b_bounded.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_hub_banners_iter65.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_inspections.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_integration_health_iter142.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_integrations_iter122.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter106_deployment_audit.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter132_final.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter133_predeploy.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter134_training_center.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter140_where_used.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter205_anon_browser_walkthrough.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter251_fleet_guidance_integration.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter251_phase3_fleet_visibility.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter251_phase4_repair_lifecycle.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter251_phase5_weekly_emergency.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter256_predeploy_readiness.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter273_api_http.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter306_banner_cleanup_invariant.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter312_driver_qualification_csv.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter323_safety_forms_extra_smoke.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter338_live_e2e.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter346b_login_shell_and_super_admin.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Test evidence only
M,backend/tests/test_iter347_promo_asset_library.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter35_predeploy.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter55_admin_health_endpoints.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Test evidence only
M,backend/tests/test_iter56_scheduler_truth_consistency.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter57_backup_health_consistency.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter58_backup_health_final_verification.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iter94_audit.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iteration_571_photo_intel_summary.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_iteration_63_oppc_foundation.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_job_photos.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_master_lists_export_iter34.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_mcc1_hr_access.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
M,backend/tests/test_mcc1_mapping_cleanup.py,test-only,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Test evidence only
