surface_type,path_or_endpoint,classification,auth_owner_or_guard,anonymous_safe_contract,current_runtime_status,notes
api,/api/training/packet.pdf?track=admin,AUTHENTICATED DOWNLOAD,admin token,Admin packet must stay protected,Verified 2026-08-09,Route remains gated before PDF render
api,/api/training/packet.pdf?track=hr,AUTHENTICATED DOWNLOAD,hr / admin token,HR packet must not be anonymously readable,Verified 2026-08-09,New focused regression proves 401 signed-out and 200 with HR/Admin token
api,/api/training/packet.pdf?track=leadership,UNSUPPORTED / NO PUBLIC EXPORT,training packet backend does not publish a leadership packet,No public export exists for this track,Verified 2026-08-09,Direct API returns 404 and the frontend redirects callers back to the protected in-browser track
api,/api/jobs,AUTHENTICATED / INTERNAL MIXED,Legacy mixed consumers,Do not use from public workflows,Open,Still exists for broader internal consumers and is not anonymous-safe
api,/api/equipment-master,AUTHENTICATED / INTERNAL MIXED,Legacy mixed consumers,Do not use from public workflows,Open,Still exists for broader internal consumers and is not anonymous-safe
api,/api/jobs/{project}/recent-context,ROLE-RESTRICTED PM / ADMIN,require_pm_portal_or_super_admin,Project recent-context is no longer anonymously reachable because it contains operator/project prefill context beyond anonymous-safe lookup scope,Verified 2026-08-10,Signed-out access now returns 401 and authenticated admin access still returns governed context
api,/api/employees,AUTHENTICATED / INTERNAL MIXED,Legacy mixed consumers,Do not use from public workflows,Open,Public Daily Report crew refresh now uses `/api/hr/employee-roster/public` instead of this broader internal feed
api,/api/master-lookup/employees,AUTHENTICATED PORTAL,Portal auth required,Protected employee lookup for authenticated portals only,Verified 2026-08-09,Returns 401 signed-out
api,/api/inspections,PUBLIC POST,None,Public inspection submit endpoint with rate limiting and no session dependency,Verified 2026-08-09,Anonymous POST proof captured
api,/api/safety-forms/equipment-issuances,PUBLIC POST,None,Public issuance submit endpoint with rate limiting and no session dependency,Verified 2026-08-09,Anonymous POST proof captured
api,/api/safety-forms/equipment-trainings,PUBLIC POST,None,Public training submit endpoint with rate limiting and no session dependency,Verified 2026-08-09,Anonymous POST proof captured
api,/api/auth/multi-login,PUBLIC AUTH ENTRY,None,Public login entry for protected portals only,Verified 2026-08-09,Not used by public workflows
api,/api/auth/multi-logout,AUTHENTICATED SESSION,Valid session/token context,Protected logout endpoint,Verified 2026-08-09,
api,/api/auth/me-directory,AUTHENTICATED SESSION,Directory/portal token,Protected auth continuity endpoint,Verified 2026-08-09,
api,/api/guidance/articles,PUBLIC / FILTERED,None,Public guidance list with server-side visibility filtering,Verified 2026-08-09,Protected articles are filtered instead of failing through session-expired UI
