Permanent surface ID,Portal/family,Route or launch point,Parent route,Surface type,Active/hidden/detail/public/external state,Current visual generation,Current shell,Current header,Current sidebar/navigation,Current background,Current component family,Current icon family,Current terminology,Current coaching,Current footer,Current mobile state,Current functional status,Current runtime errors,WP-17B disposition,Required migration action,Required functional repair,Target canonical components,Files affected,Dependencies,Status,Evidence,Final certification
ROUTE-0011,safety,/safety/cards,/safety,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,PortalShell (canonical wp17d wave),Canonical glass header,Canonical sidebar in wave migration,Layered light base + navy grid + restrained glass,FieldSafetyCards,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0012,public_shared,/field,/,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,WP17 public shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,FieldSection,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,FIRST_WAVE_REPAIR_AND_CONVERGENCE,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,MIGRATING,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
ROUTE-0013,public_shared,/field/calculators,/field,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,WP17 public shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,MaterialCalculators,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,FIRST_WAVE_REPAIR_AND_CONVERGENCE,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,MIGRATING,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
ROUTE-0014,public_shared,/qaqc,/,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,WP17 public shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,QaqcSection,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,FIRST_WAVE_REPAIR_AND_CONVERGENCE,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,MIGRATING,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
ROUTE-0015,public_shared,/qa-qc,/,redirect_route,ACTIVE,WP17D_CANONICAL_WAVE,WP17 public shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,Navigate,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,None observed in current wave or pending inspection,CANONICALIZE_REDIRECT,FIRST_WAVE_REPAIR_AND_CONVERGENCE,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,REDIRECTED,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
ROUTE-0016,public_shared,/qaqc/:slug/new,/qaqc/:slug,detail_route,DETAIL,WP17D_CANONICAL_WAVE,WP17 public shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,NewQaqcInspection,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,None observed in current wave or pending inspection,KEEP_HIDDEN_DETAIL,FIRST_WAVE_REPAIR_AND_CONVERGENCE,Inspect and repair defects encountered during migration,WP17C_CANONICAL_DETAIL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,MIGRATING,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
ROUTE-0017,public_shared,/qaqc/:id,/qaqc,detail_route,DETAIL,WP17D_CANONICAL_WAVE,WP17 public shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,ViewQaqcInspection,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,None observed in current wave or pending inspection,KEEP_HIDDEN_DETAIL,FIRST_WAVE_REPAIR_AND_CONVERGENCE,Inspect and repair defects encountered during migration,WP17C_CANONICAL_DETAIL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,MIGRATING,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
ROUTE-0018,admin,/admin/qaqc,/admin,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,PortalShell (canonical wp17d wave),Canonical glass header,Canonical sidebar in wave migration,Layered light base + navy grid + restrained glass,route_element,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0019,admin,/admin/transportation/*,/admin/transportation,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,PortalShell (canonical wp17d wave),Canonical glass header,Canonical sidebar in wave migration,Layered light base + navy grid + restrained glass,route_element,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0020,transportation,/transportation-operations/*,/transportation-operations,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,PortalShell (canonical wp17d wave),Canonical glass header,Canonical sidebar in wave migration,Layered light base + navy grid + restrained glass,route_element,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,Inspecting valid-session auth/runtime failures and mixed layout regressions,MIGRATE_IN_WP17D,FIRST_WAVE_REPAIR_AND_CONVERGENCE,"Repair auth/runtime drift, duplicate navigation, and mixed shell behavior",WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,MIGRATING,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
ROUTE-0021,admin,/admin/photos,/admin,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,PortalShell (canonical wp17d wave),Canonical glass header,Canonical sidebar in wave migration,Layered light base + navy grid + restrained glass,route_element,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0022,public_shared,/constraints,/,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,WP17 public shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,Constraints,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,FIRST_WAVE_REPAIR_AND_CONVERGENCE,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,MIGRATING,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
ROUTE-0023,public_shared,/constraints/new,/constraints,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,WP17 public shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,NewConstraint,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,FIRST_WAVE_REPAIR_AND_CONVERGENCE,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,MIGRATING,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
ROUTE-0024,public_shared,/constraints/:id,/constraints,detail_route,DETAIL,WP17D_CANONICAL_WAVE,WP17 public shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,ConstraintDetail,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,None observed in current wave or pending inspection,KEEP_HIDDEN_DETAIL,FIRST_WAVE_REPAIR_AND_CONVERGENCE,Inspect and repair defects encountered during migration,WP17C_CANONICAL_DETAIL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,MIGRATING,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
ROUTE-0025,field_leadership,/leadership,/,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,Legacy or portal-specific shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,FieldLeadershipHub,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Mixed footer treatment,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0026,field_leadership,/leadership/hub_v2,/leadership,hidden_companion_route,HIDDEN,WP17D_CANONICAL_WAVE,Legacy or portal-specific shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,LeadershipHubV2,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Mixed footer treatment,Canonical responsive shell in wave rollout,Intentionally hidden or internal,None observed in current wave or pending inspection,MERGE_OR_RETIRE,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,HIDDEN,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0027,field_leadership,/leadership/records,/leadership,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,Legacy or portal-specific shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,FieldLeadershipRecords,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Mixed footer treatment,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0028,field_leadership,/leadership/records/:id,/leadership/records,detail_route,DETAIL,WP17D_CANONICAL_WAVE,Legacy or portal-specific shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,FieldLeadershipView,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Mixed footer treatment,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,KEEP_HIDDEN_DETAIL,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_DETAIL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0029,field_leadership,/leadership/:kind/new,/leadership/:kind,detail_route,DETAIL,WP17D_CANONICAL_WAVE,Legacy or portal-specific shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,FieldLeadershipFormPage,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Mixed footer treatment,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,KEEP_HIDDEN_DETAIL,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_DETAIL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0030,safety,/safety/inspections/new,/safety/inspections,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,PortalShell (canonical wp17d wave),Canonical glass header,Canonical sidebar in wave migration,Layered light base + navy grid + restrained glass,route_element,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Operational; convergence verification pending,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,PORTAL_MIGRATION,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,IMPLEMENTED,Imported from WP17C ledger · Shared shell/token convergence wave active · app/routing/AppRoutes.jsx,PENDING
ROUTE-0031,public_shared,/inspect/new,/inspect,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,WP17 public shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,InspectionLegacyRedirect,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,FIRST_WAVE_REPAIR_AND_CONVERGENCE,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,MIGRATING,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
ROUTE-0032,public_shared,/submit,/,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,WP17 public shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,InspectionLegacyRedirect,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,FIRST_WAVE_REPAIR_AND_CONVERGENCE,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,MIGRATING,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
ROUTE-0033,public_shared,/inspections/submit,/inspections,route_screen,ACTIVE,WP17D_CANONICAL_WAVE,WP17 public shell,Canonical glass header,Mixed or contextual navigation,Layered light base + navy grid + restrained glass,InspectionLegacyRedirect,lucide-react (canonical wrapper convergence),ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,Canonical footer boundary in wave rollout,Canonical responsive shell in wave rollout,Under active convergence repair,None observed in current wave or pending inspection,MIGRATE_IN_WP17D,FIRST_WAVE_REPAIR_AND_CONVERGENCE,Inspect and repair defects encountered during migration,WP17C_CANONICAL_PAGE,app/routing/AppRoutes.jsx,PortalShell + tokens + navigation canon,MIGRATING,Imported from WP17C ledger · Shared shell/token convergence wave active · Executive first-priority repair wave · app/routing/AppRoutes.jsx,PENDING
