Surface ID,Portal/family,Route,Surface type,Parent route,Navigation location,Hidden/detail/public status,WP-17B disposition,Current component family,Target component family,Information-architecture action,Navigation action,Design action,Terminology action,Coaching action,White-label action,Responsive action,Dependency,Current status,Files affected,Evidence reference,Final certification status
ROUTE-0011,safety,/safety/cards,route_screen,/safety,route_tree,PUBLIC,MIGRATE_IN_WP17D,FieldSafetyCards,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0012,public_shared,/field,route_screen,/,route_tree,PUBLIC,MIGRATE_IN_WP17D,FieldSection,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0013,public_shared,/field/calculators,route_screen,/field,route_tree,PUBLIC,MIGRATE_IN_WP17D,MaterialCalculators,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0014,public_shared,/qaqc,route_screen,/,route_tree,PUBLIC,MIGRATE_IN_WP17D,QaqcSection,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0015,public_shared,/qa-qc,redirect_route,/,route_tree,PUBLIC,CANONICALIZE_REDIRECT,Navigate,WP17C_CANONICAL_PAGE,STANDARDIZE,REDIRECT_ALIAS,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0016,public_shared,/qaqc/:slug/new,detail_route,/qaqc/:slug,route_tree,DETAIL,KEEP_HIDDEN_DETAIL,NewQaqcInspection,WP17C_CANONICAL_DETAIL_PAGE,STANDARDIZE,SEARCH_ONLY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0017,public_shared,/qaqc/:id,detail_route,/qaqc,route_tree,DETAIL,KEEP_HIDDEN_DETAIL,ViewQaqcInspection,WP17C_CANONICAL_DETAIL_PAGE,STANDARDIZE,SEARCH_ONLY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0018,admin,/admin/qaqc,route_screen,/admin,route_tree,PUBLIC,MIGRATE_IN_WP17D,route_element,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0019,admin,/admin/transportation/*,route_screen,/admin/transportation,route_tree,PUBLIC,MIGRATE_IN_WP17D,route_element,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0020,transportation,/transportation-operations/*,route_screen,/transportation-operations,route_tree,PUBLIC,MIGRATE_IN_WP17D,route_element,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0021,admin,/admin/photos,route_screen,/admin,route_tree,PUBLIC,MIGRATE_IN_WP17D,route_element,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0022,public_shared,/constraints,route_screen,/,route_tree,PUBLIC,MIGRATE_IN_WP17D,Constraints,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0023,public_shared,/constraints/new,route_screen,/constraints,route_tree,PUBLIC,MIGRATE_IN_WP17D,NewConstraint,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0024,public_shared,/constraints/:id,detail_route,/constraints,route_tree,DETAIL,KEEP_HIDDEN_DETAIL,ConstraintDetail,WP17C_CANONICAL_DETAIL_PAGE,STANDARDIZE,SEARCH_ONLY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0025,field_leadership,/leadership,route_screen,/,route_tree,PUBLIC,MIGRATE_IN_WP17D,FieldLeadershipHub,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0026,field_leadership,/leadership/hub_v2,hidden_companion_route,/leadership,route_tree,HIDDEN,MERGE_OR_RETIRE,LeadershipHubV2,WP17C_CANONICAL_PAGE,MERGE,SEARCH_ONLY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0027,field_leadership,/leadership/records,route_screen,/leadership,route_tree,PUBLIC,MIGRATE_IN_WP17D,FieldLeadershipRecords,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0028,field_leadership,/leadership/records/:id,detail_route,/leadership/records,route_tree,DETAIL,KEEP_HIDDEN_DETAIL,FieldLeadershipView,WP17C_CANONICAL_DETAIL_PAGE,STANDARDIZE,SEARCH_ONLY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0029,field_leadership,/leadership/:kind/new,detail_route,/leadership/:kind,route_tree,DETAIL,KEEP_HIDDEN_DETAIL,FieldLeadershipFormPage,WP17C_CANONICAL_DETAIL_PAGE,STANDARDIZE,SEARCH_ONLY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0030,safety,/safety/inspections/new,route_screen,/safety/inspections,route_tree,PUBLIC,MIGRATE_IN_WP17D,route_element,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0031,public_shared,/inspect/new,route_screen,/inspect,route_tree,PUBLIC,MIGRATE_IN_WP17D,InspectionLegacyRedirect,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0032,public_shared,/submit,route_screen,/,route_tree,PUBLIC,MIGRATE_IN_WP17D,InspectionLegacyRedirect,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0033,public_shared,/inspections/submit,route_screen,/inspections,route_tree,PUBLIC,MIGRATE_IN_WP17D,InspectionLegacyRedirect,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0034,public_shared,/inspections/new,route_screen,/inspections,route_tree,PUBLIC,MIGRATE_IN_WP17D,InspectionLegacyRedirect,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0035,public_shared,/meetings/new,route_screen,/meetings,route_tree,PUBLIC,MIGRATE_IN_WP17D,NewMeeting,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0036,public_shared,/meetings/submit,route_screen,/meetings,route_tree,PUBLIC,MIGRATE_IN_WP17D,NewMeeting,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0037,public_shared,/jha,route_screen,/,route_tree,PUBLIC,MIGRATE_IN_WP17D,JhaPlansHub,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0038,public_shared,/jha/submit,redirect_route,/jha,route_tree,PUBLIC,CANONICALIZE_REDIRECT,Navigate,WP17C_CANONICAL_PAGE,STANDARDIZE,REDIRECT_ALIAS,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0039,public_shared,/jha/new,redirect_route,/jha,route_tree,PUBLIC,CANONICALIZE_REDIRECT,Navigate,WP17C_CANONICAL_PAGE,STANDARDIZE,REDIRECT_ALIAS,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0040,public_shared,/trench-boxes,redirect_route,/,route_tree,PUBLIC,CANONICALIZE_REDIRECT,Navigate,WP17C_CANONICAL_PAGE,STANDARDIZE,REDIRECT_ALIAS,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0041,public_shared,/trench-safety,route_screen,/,route_tree,PUBLIC,MIGRATE_IN_WP17D,PublicTrenchSafetyDashboard,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0042,public_shared,/trench-safety/tabulated-data,route_screen,/trench-safety,route_tree,PUBLIC,MIGRATE_IN_WP17D,PublicTrenchSafetyTabulatedData,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0043,public_shared,/trench-safety/references,route_screen,/trench-safety,route_tree,PUBLIC,MIGRATE_IN_WP17D,PublicTrenchSafetyReferences,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0044,public_shared,/trench-safety/report,route_screen,/trench-safety,route_tree,PUBLIC,MIGRATE_IN_WP17D,PublicTrenchSafetyReport,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0045,public_shared,/trench-safety/assets/:assetId,detail_route,/trench-safety/assets,route_tree,DETAIL,KEEP_HIDDEN_DETAIL,TrenchSafetyQrLanding,WP17C_CANONICAL_DETAIL_PAGE,STANDARDIZE,SEARCH_ONLY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0046,transportation,/transport-invite/:token,detail_route,/transport-invite,route_tree,DETAIL,KEEP_HIDDEN_DETAIL,ExternalCarrierInvite,WP17C_CANONICAL_DETAIL_PAGE,STANDARDIZE,SEARCH_ONLY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0047,transportation,/transport-verify/:cnum,detail_route,/transport-verify,route_tree,DETAIL,KEEP_HIDDEN_DETAIL,CertificateVerify,WP17C_CANONICAL_DETAIL_PAGE,STANDARDIZE,SEARCH_ONLY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
