defect_id,truth_surface_ids,domain,root_cause_class,description,shared_owner,current_state,blocks_prec10,repair_summary,evidence
DQ-0001,TS-0016,Fleet/Vehicles,DATA QUALITY,"12 fleet-category units have blank unit_number (LIVE PROD); several are Garmin GPS devices mis-categorized as fleet units; company values inconsistent (MGC/MASCI/MC/'?'/blank)",n/a (business data),OWNER_DEFERRED,NO,"Register only; owner review — no code lie, no production cleanup this wave","/api/fleet/units 12/149 blank unit_number"
DQ-0002,TS-0017,Transportation/Drivers,DATA QUALITY,"All eligible CDL drivers lack cdl_expiration_date + medical_card_expiration_date (LIVE PROD); eligibility cannot verify current CDL validity until populated; 39/43 lack lifecycle_status",n/a (business data),OWNER_DEFERRED,NO,"Register only; owner/HR data backfill — eligibility contract excludes non-active lifecycle but cannot assert license currency","/api/admin/transportation/eligible-hr-cdl-drivers"
TD-0011,TS-0009,Admin/OpsControl,MISLEADING ERROR ATTRIBUTION + PROBE TIMEOUT,"OCC operations_registry card rendered UNVERIFIABLE 'Check admin auth.' for EVERY failure; real cause was the 6s fan-out probe timing out on the heavy 16-op overview aggregation (auth passthrough X-Admin-Token+X-Directory-Token was already correct). Misattributing a timeout to auth is a truth defect.",backend/routes/occ_health_aggregator.py:_PROBE_TIMEOUTS_S + _unreachable_reason + _eval_operations_overview (SO-08b),PREVIEW_REPAIRED,NO,"overview per-endpoint timeout 6s->18s (truth now obtainable); UNVERIFIABLE reason now reflects actual error class (timeout/auth/connection); child endpoint authorization unchanged (not weakened).","PREVIEW operations_registry now resolves to MISMATCH (16 ops, 2 genuine critical) instead of false UNVERIFIABLE; unit test test_td0011_occ_probe_reason_attribution.py 5/5 PASS"
TD-0012,TS-employees,HR/Roster,POPULATION-COUNT CONTRACT (Wave-4 D-class),"GET /api/employees returned {items, count: len(docs)} from a fixed to_list(5000) with no count_documents; count silently caps at 5000 as the roster grows (future-scale truncation). Representative of the systemic {items,count:=len()} fixed-cap D-class (~150 candidates).",backend/server.py:list_employees (SO-11 pattern),PREVIEW_REPAIRED,NO,"Added total=count_documents(canonical active roster query) + page_size; count preserved as page length. TD-0009 canonical pattern.","PREVIEW /api/employees now count=233 total=233 page_size=233 (future-scale-safe); pattern proven by GD-0010 scale test"
TD-0013,"TS-0047,TS-0050",OPPC/Monday-Review,SAME-CONCEPT FORMULA DIVERGENCE,"Weekly quantity variance computed two different answers for the identical concept/scope: oppc_execution:490 returned 0.0 for zero-planned+work-done while oppc_intelligence variance-intelligence returned 100.0. Same-concept/same-scope mismatch (an unexplained formula difference).",backend/lib/kpi_variance.py (SO-14),PREVIEW_REPAIRED,NO,"Both now delegate to canonical variance_percent(mode=unplanned_is_full); truthful 100.0 (unplanned work = 100% over plan) consistent everywhere. Guard GD-0024.","GD-0024 oppc_intelligence delegation test; oppc_execution source-routed; 171 guard+live tests pass 0 regressions"
TD-0014,"BP trench rows",TrenchSafetyReports MiniTable,UNKNOWN/N-A-AS-ZERO [REPAIRED],"Per-asset-type and per-yard compliance% and utilization% rows render raw `${v.compliance_pct}%` / `${v.utilization_pct}%` (TrenchSafetyReports.jsx:256/261 + utilization rows) bypassing the governed <Pct value state> used at the headline (line 252). Rows with total=0 show a FAKE 0% for a not-applicable denominator (the exact N/A-as-0 anti-pattern). Backend by_asset_type/top_risk rows emit compliance_pct/utilization_pct without a companion governed state.",WAVE5 compliance_rate+utilization,OPEN_OWNER_GATED,NO,"Emit governed value+state per row (backend) and render via the shared Pct/N-A helper (frontend); guard extension of GD-0021. Requires source change + owner re-Save (currently STOP per final-proof order).","browser evidence iteration_28: End Panel/Spreader Bar/Hydraulic Shore/Slide Rail rows show 0% at total=0"
TD-0015,"BP equipment",AdminEquipment/EquipmentMasterPanel + /api/equipment-master,MISSING-DATA-AS-ZERO[REPAIRED]+AUTH[INTENTIONAL_AUTH_CONTRACT: admin+directory->200/766units, admin-only->401, none->401; SPA sends both via authHeaders directory-compatible admin portal; GD-0032],"GET /api/equipment-master returns 401 for an authenticated admin-portal Super Admin; the UI swallows it into a false empty-success state (0 UNITS IN FLEET / ACTIVE 0 / Fleet is empty) while EquipmentStatusBoard reports 951 units. A missing/unauthorized read must render error/unknown, never 0.",WAVE8 cache/fallback + WAVE9 human truth,OPEN_OWNER_GATED,NO,"Fix 401 for admin Super Admin (auth/routing) AND make the panel render an error/unknown state (truthfulDataState) instead of 0. Requires source change + owner re-Save (STOP).","iteration_28: /api/equipment-master 401 pre+post backend restart"
TD-0016,BP-0057,AdminComplianceFindings,REGISTER-MISLABEL,"POST_SAVE_BROWSER_PROOF_REGISTER row BP-0057 claims a compliance_rate surface at AdminComplianceFindings.jsx:159 but that file renders NO compliance percentage (only finding status/severity badges). The canonical enumeration classifier mis-tagged a line as compliance_rate.",WAVE5 enumeration accuracy,EVIDENCE_CORRECTED,NO,"Retire/relabel BP-0057 to CANONICAL_STATUS (severity/status badges, which PASS); do NOT mark a nonexistent compliance surface PASS. Evidence-register correction only (no deployable source change).","iteration_28: no % or N/A string on the page"
TD-0017,release-provenance,platform/release-guard,env_conflation,"Preview 502: fail-close killed preview for unattested candidate. Fix: environment-aware stamp (preview serves, production/deploy hard-fail).",,,,,
TD-0018,equipment-status-board,equipment,overlapping_bucket,"Status board overdue double-count (header 948 vs filter 1422 > total). Fix: single governed overdueCount from unit set, bounded by total.",,,,,
TD-0019,hr-portal-hydration,auth/session,unbounded_spinner,HR portal infinite spinner on token loss after ready. Fix: anti-hang deadline + debounced governed deny.,,,,,
TD-0020,exec-operational-intelligence,executive,unavailable_as_zero,Exec KPI tiles rendered unavailable as hard 0 + briefing shape mismatch. Fix: ?? null governed dash + briefing r.data fallback.,,,,,
TD-0021,hr-driver-qualification,hr,static_alarm_tone,Driver-qual tiles alarm-colored at count 0. Fix: value-derived neutral tint at 0.,,,,,
TD-0022,operational-health-shell,platform/trust,false_green_default,worstStatus defaulted empty/missing to green -> false HEALTHY on unavailable. Fix: empty/null/missing -> unknown; counts render — when data null.,,,,,
TD-0023,hr-incidents,hr,unavailable_as_zero,Incident summary tiles showed hard 0 on session-expired. Fix: err -> em-dash.,,,,,
TD-0024,notification-bell,platform/notifications,swallow_error_to_zero,"getUnreadCount swallowed errors to 0 overwriting known count. Fix: return null on error, caller ignores null.",,,,,
TD-0025,haul-board,dispatch,raw_minutes_display,HaulBoard rendered raw minutes (18545m). Fix: fmtMin human duration.,,,,,
TD-0026,constraints/constraint-detail (BP-0025/BP-0026),operational,missing_auth_scope,"/constraints /timeline /photos /operational-links missing from portalAuthScope.js -> no portal token attached -> 401 'Portal authentication required' -> Constraints list hung on Loading + detail rendered nothing. Backend auth unchanged (no bypass).",_require_any_portal_token,fixed,,Added the 4 V-Prelude substrate prefixes to SHARED_API_PREFIXES so the active portal token attaches; Constraints.jsx clears loading branch when err set.,iteration_36 -> retest pending
TD-0027,operations-center-cards (BP-0038),platform/ops,alarm_tone_on_zero,"Zero-count KPI tiles wore Critical rose ring/bg (false-alarm tone) on PmHub ops-center.",operations-center,fixed,,"CardTile computes displaySev=Info when isCount && count===0; ring/text gated on non-zero value.",iteration_36 -> retest pending
TD-0028,auto-email-routing-panel (BP-0001),platform/email,silent_vanish_on_error,"if (loading||!data) return null hid the panel entirely on fetch failure -> looked like no routing configured.",auto-email,fixed,,"Added failed state; renders governed 'routing table unavailable' amber panel instead of null.",iteration_36 -> retest pending
TD-0029,dispatch-lifecycle-signals,dispatch,raw_minutes_display,"Governance findings headlines printed raw minutes ('stuck ... 113996 min'); identical-looking rows for same truck.",dispatch-governance,fixed,,"Backend _human_minutes() renders d/h/m; stuck headline appends short assignment id to disambiguate. Numeric fields unchanged.",iteration_36 -> retest pending
TD-0030,r2-lifecycle-freshness,platform/storage,raw_minutes_and_zero_default,"Inventory age printed raw '6594m'; orphan_pct ?? 0 printed 0% when unavailable.",r2-lifecycle,fixed,,"humanDuration() for age; orphan_pct renders — when null (real 0 still shows 0%).",iteration_36 -> retest pending
TD-0031,cloud-archives-panel (BP-0002),platform/storage,orphaned_non_surface,"CloudArchivesPanel mounted by no route/page -> cannot be browser-observed.",,reclassified,,"Retired BP-0002 as RETIRED_NON_SURFACE_ORPHANED in browser proof register; denominator 85 -> 84. No new surface created.",iteration_36
TD-0032,BP-0026 constraints @390,operational,stuck_loading,"Constraints list never left 'Loading…' at width 390 despite 200 responses (per-effect live flag dropped the final response under rapid re-runs).",constraints,fixed,,"Explicit loading flag + reqSeq guard: latest response always clears loading. Verified 8 loads (2 roles x 4 widths) no stuck-loading.",iteration_38 PASS
TD-0033,BP-0024 /thank-you,submission,false_green,"Direct navigation to /thank-you fabricated a green 'Submitted Successfully' with a blank Record #.",thank-you,fixed,,"ThankYou.jsx hasSubmissionEvidence() gate renders submission-confirmation-none when no evidence; cannot fabricate success.",iteration_38 PASS
TD-0034,BP-0030 hr-requests @390,hr,mobile_layout,"@390 row title truncated to 1 char, timestamp wrapped one-token-per-line, '225 pending' badge wrapped to two lines.",hr-employee-requests,fixed,,"Row flex-col on mobile; whitespace-nowrap timestamp + pending badge; header flex-wrap. Truth unchanged (225 pending / 200 rows).",iteration_38 PASS
TD-0035,admin-storage-recovery cards,platform/storage,raw_minutes_display,"RPO/RTO Posture, Restore Drill, Backup Freshness cards printed raw minutes (e.g. 11485m).",storage-recovery,fixed,,"humanDuration in bFreshness/bRpoRto/bRestoreDrill summaries; no 4+ digit NNNNm remains.",iteration_38 PASS
TD-0036,access-denied portal grid,platform/auth-ui,empty_tile,"'Other portals reachable' grid rendered a blank clickable tile for a labelless/homeless portal value.",access-denied,fixed,,"others filter now requires both PORTAL_LABEL[p] and PORTAL_HOME[p]; blank tile structurally impossible.",iteration_38 PASS
TD-0037,BP-0040 pm-monday-review,pm,unavailable_as_zero,"Monday Readiness tile printed a hard '0%' in the no-project/unavailable state while sibling tiles showed em dash.",pm-monday-review,fixed,,"Tile em-dashes unless completion_percent is a finite non-null number; hardened Prod Eff (line 65) and variance_percent (line 483) against null% too.",iteration_38 -> retest pending
TD-0038,safety-hub double chrome,safety,duplicate_header,"/safety-portal/hub_legacy wrapped PortalShell around SafetyShell (which already renders PortalShell) -> two headers, two logos, two EN/ES toggles.",safety-hub,fixed,,"Removed redundant outer PortalShell from SafetyHub.jsx (matches SafetyAudits/Incidents which use SafetyShell only). Verified single header + one toggle via screenshot.",iteration_38 fix -> screenshot verified
TD-0039,pm project pickers,pm,style_inconsistency,"PM Monday Review/Budget/Schedule use a native <select> instead of the shadcn Select used elsewhere.",pm-project-picker,accepted_cosmetic,,"Functional + accessible; the 3 PM pages passed. Not a truth/functional defect; converting risks regressing working flows. Documented as accepted cosmetic variance.",iteration_38 note
TD-0040,BP-0056 command-center,platform/ops,backend_500_single_glass,"GET /api/admin/command-center/snapshot returned HTTP 500 after ~21s (Mongo read timeout in one of five serially-awaited card builders; no isolation) -> whole single-glass surface dead, UI stuck on Loading 30-40s.",command-center,fixed,,"Backend: 5 cards built concurrently via asyncio.gather, each wrapped in _safe_card (per-card try/except + 12s timeout) -> a failing card degrades to a governed UNKNOWN card (pill UNKNOWN, ranked above GREEN in _worst_pill so overall can never falsely read green); only healthy snapshots cached. Frontend: UNKNOWN pill style added (neutral, default no longer GREEN), degraded card shows unavailable_reason, 18s AbortController timeout. Verified via SPA: cc-cards-grid loads, Accountability card = UNKNOWN, others RED, overall RED.",iteration_39 -> SPA-verified; width retest pending
TD-0041,BP-0045 safety-case-workspace,safety,horizontal_overflow,"@390 scrollWidth 1499 vs 390; tab strip flex inside overflow-x-auto sized its grid-item ancestors, clipping case number/story/tabs.",safety-case,fixed,,"Added min-w-0 to both grid columns (space-y-4 main col + aside) so the overflow-x-auto tab strip scrolls internally. Also hardened CaseHealth/ExecutiveSnapshot completeness_pct: unknown -> em dash + neutral bar, never red 0%.",iteration_39 -> width retest pending
TD-0042,ai-configuration live-ping,platform/ai,cross_provider_model_leak,"OpenAI + Google health rows reported Anthropic's model (claude-sonnet-4-5) and identical latency because _ping_provider used route('operational_narrative') (primary route) for every provider.",ai-health,fixed,,"_ping_provider now resolves the per-provider model via _provider_default_model(name) instead of the primary route.",iteration_39 fix
TD-0043,asset-mapping + jha totals,platform/admin,unavailable_as_zero_latent,"trust_score_pct/confidence_score interpolated raw ('null%'/hard 0%); JHA totals ?? 0 could print '0 projects' with non-empty list.",asset-mapping;jha,fixed,,"pctOr() finite-guard on all AssetMapping % (em dash when null); confidence em-dash when null; JHA totals ?? '—'.",iteration_39 hardening
TD-0044,BP-0067 wp17d-certification,platform/admin,unverified_hardcoded_claims,"Entire WP-17D certification dashboard (INVENTORY_TOTAL 1190, SURVIVOR_COUNTS, ROUTE_STATUS 'READY' + evidence timestamps, 66.3% completion) was hardcoded frontend constants with no backend/provenance — unverifiable certification claims; a green '66.3% aligned' chip sat next to a 'Not ready' verdict.",wp17d,fixed,,"It is a genuinely manual UI-review tracker (no live data pipeline exists). Added a prominent 'Manually-maintained snapshot — not a live system reading' provenance banner + AS_OF date; neutralized the green progress chip to slate so it no longer reads as success against a Not-ready verdict.",iteration_40 -> retest pending
TD-0045,BP-0056 command-center residual,platform/ops,stale_error_over_data,"After the snapshot retry succeeded, the timeout error banner stayed rendered above populated cards (failed+data), and the 18s client timeout was below the ~21s snapshot latency so the first attempt usually aborted.",command-center,fixed,,"cc-error full screen now gated on !snap; when err && snap a small non-blocking cc-stale-notice shows instead; client timeout raised 18s -> 30s.",iteration_40 fix
TD-0046,transportation carriers/drivers list total,transportation,first_page_as_total,"tx-carriers-summary '200 total' was the fetched page length (server limit 200) presented as the true total — doctrine violation (first-page count as total); compliance reported 336.",transportation-lists,fixed,,"Backend list_carriers/persons/trucks now return real total via count_documents plus truncated flag; frontend fetches limit=1000 (collections <1000) so client-derived status counts are complete and match the true total.",iteration_40 fix
TD-0047,transportation compliance + modals minor,transportation,minor_ux,"Emerald 'Eligible' state chip read as green at count 0; ModalShell had no Escape-to-close; reconciliation detail leaked raw 'start_logged' enum.",transportation,fixed,,"Zero-count compliance rows dimmed (opacity-45) so a 0 no longer reads as an active green status; ModalShell Escape-to-close keydown handler added; reconciliation status humanized (underscores -> spaces).",iteration_40 fix
TD-0048,BP-0083 trench-reports status filter,trench-safety,enum_label_mangled,"Global operatorLanguage rewrite /\bcertification\b/gi->'readiness' mutated the canonical lifecycle status 'Certification Hold' to 'readiness Hold' in the reports status filter, contradicting every other trench surface.",operator-language,fixed,,"Negative lookahead /\bcertification\b(?!\\s+hold)/gi preserves 'Certification Hold' while still rewriting other 'certification' copy. Verified via node.",iteration_41 -> retest pending
TD-0049,BP-0081 trench ops-summary,trench-safety,contradictory_denominators,"Same panel showed TOTAL ASSETS 21 (total_active_assets, retired-excluded) next to a by-status grid summing 122 (RETIRED 99) and alerts of 120 — three undisclosed denominators.",trench-polish,fixed,,"Relabeled the executive stat 'Total Assets' -> 'Active Assets' (matches total_active_assets) and captioned Count-by-Status as 'all lifecycle states, incl. retired' so scopes are disclosed and non-contradictory.",iteration_41 -> retest pending
TD-0050,BP-0069 signature-submit,daily-report,orphaned_row_repointed,"Registered SignatureSubmitSection.jsx is dead code (DailyReportV2 shell retired DR-UNIFY-003); testids render nowhere.",daily-report-signoff,repointed,,"Repointed BP-0069 to the live NewDailyReportV3 signoff surface on /daily/submit (dr-v3-section-signoff/dr-v3-sticky-submit-*) which browser-passed governed readiness checks in iteration_41. Row marked PASS.",iteration_41
TD-0051,transportation drivers total,transportation,missing_total_chip,"Drivers list had no total/summary chip -> could not reconcile with compliance (245).",transportation-lists,fixed,,"Added tx-drivers-summary with tx-drivers-summary-total (uses server total from count_documents) + active count.",iteration_41 -> retest pending
TD-0052,BP-0081 residual data-nuance,trench-safety,known_aggregation_variance,"After the label/scope fix (TD-0049), a smaller residual remains: total_active_assets (21) != sum of non-retired status buckets (23), OUT OF SERVICE 100 vs RETIRED 99, and the Pulse card (RECENT 7d / INSPECTIONS DUE) is a cached snapshot that differs from the live Executive row. These are backend aggregation-scope differences across separate trench queries.",trench-polish,documented_known,,"Not silently ignored: the reported FAIL (undisclosed/contradictory scope labels) is fixed and BP-0081 browser-passed. This residual is a distinct backend aggregation reconciliation (each block queried with a slightly different active/lifecycle scope + snapshot age); recorded as a known data-quality nuance for a follow-up backend reconciliation pass — does not present a false green or unavailable-as-zero.",iteration_42 documented
TD-0053,test_nav_drift_guard (pre-existing),test-infra,decayed_guard,"9 assertions in backend/tests/test_nav_drift_guard.py fail: they read frontend/src/App.js and a Feb-2026 route-inventory snapshot, but the Track-14.x routing refactor moved all <Route>s into app/routing/AppRoutes.jsx. The routes/hubs DO exist and are correctly wired (verified). Confirmed PRE-EXISTING via git stash (fails identically without this session's changes).",nav-drift,documented_pre_existing,,"NOT caused by this session. Fully re-syncing the guard (repoint APP_JS + regenerate ROUTE_INVENTORY + reconcile blueprint-grid/authheaders assertions) is a separate test-infra task outside the truth-program scope; a partial repoint traded 5 failures for 6 different ones, so left as-is and documented rather than half-migrated.",regression-note
