proof_id,truth_surface_loc,route,concept,expected_canonical_state,reason_deferred,post_save_test,status
BP-0016,frontend/src/components/SessionStatusOverlay.jsx:150,SessionStatusOverlay,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load SessionStatusOverlay as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0017,frontend/src/components/admin/MaintainxP0Tab.jsx:206,MaintainxP0Tab,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load MaintainxP0Tab as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0018,frontend/src/components/admin/R2LifecyclePanel.jsx:179,R2LifecyclePanel,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load R2LifecyclePanel as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0019,frontend/src/components/admin/operational-health/OperationalHealthDashboardShell.jsx:232,OperationalHealthDashboardShell,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load OperationalHealthDashboardShell as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0020,frontend/src/components/daily-report-v3/SectionProjectConditions.jsx:224,SectionProjectConditions,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load SectionProjectConditions as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0021,frontend/src/components/dispatch/command/HaulBoard.jsx:105,HaulBoard,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load HaulBoard as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0022,frontend/src/components/dispatch/command/ShopFeedBoard.jsx:230,ShopFeedBoard,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load ShopFeedBoard as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0023,frontend/src/components/hr/HrComplianceAtRiskWidget.jsx:100,HrComplianceAtRiskWidget,compliance_rate,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load HrComplianceAtRiskWidget as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0024,frontend/src/components/submission/SubmissionConfirmation.jsx:148,SubmissionConfirmation,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load SubmissionConfirmation as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0025,frontend/src/pages/ConstraintDetail.jsx:160,ConstraintDetail,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load ConstraintDetail as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0026,frontend/src/pages/Constraints.jsx:135,Constraints,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load Constraints as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0027,frontend/src/pages/ExecutiveOperationalIntelligence.jsx:423,ExecutiveOperationalIntelligence,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load ExecutiveOperationalIntelligence as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0028,frontend/src/pages/HrDriverQualificationDashboard.jsx:216,HrDriverQualificationDashboard,expiring_rate,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load HrDriverQualificationDashboard as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0029,frontend/src/pages/HrEmployeeAccountabilityTimeline.jsx:306,HrEmployeeAccountabilityTimeline,expiring_rate,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load HrEmployeeAccountabilityTimeline as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0030,frontend/src/pages/HrEmployeeRequestsQueue.jsx:464,HrEmployeeRequestsQueue,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load HrEmployeeRequestsQueue as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0031,frontend/src/pages/HrEmployees.jsx:822,HrEmployees,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load HrEmployees as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0032,frontend/src/pages/HrIncidents.jsx:169,HrIncidents,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load HrIncidents as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0033,frontend/src/pages/HrV2Preview.jsx:239,HrV2Preview,compliance_rate,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load HrV2Preview as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0034,frontend/src/pages/NewDailyReport.jsx:1067,NewDailyReport,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load NewDailyReport as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0035,frontend/src/pages/NewDailyReportV3.jsx:1067,NewDailyReportV3,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load NewDailyReportV3 as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0036,frontend/src/pages/OperationsControlCenter.jsx:1273,OperationsControlCenter,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load OperationsControlCenter as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0037,frontend/src/pages/PmCrewCompliance.jsx:156,PmCrewCompliance,compliance_rate,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load PmCrewCompliance as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0038,frontend/src/pages/PmHub.jsx:287,PmHub,compliance_rate,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load PmHub as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0039,frontend/src/pages/PmHub.jsx:306,PmHub,expiring_rate,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load PmHub as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0040,frontend/src/pages/PmMondayReviewWorkspace.jsx:427,PmMondayReviewWorkspace,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load PmMondayReviewWorkspace as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0041,frontend/src/pages/PmProjectBudgetAuthority.jsx:484,PmProjectBudgetAuthority,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load PmProjectBudgetAuthority as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0042,frontend/src/pages/PmProjectDetail.jsx:351,PmProjectDetail,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load PmProjectDetail as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0043,frontend/src/pages/PmProjectSchedule.jsx:634,PmProjectSchedule,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load PmProjectSchedule as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0044,frontend/src/pages/SafetyAudits.jsx:119,SafetyAudits,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load SafetyAudits as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0045,frontend/src/pages/SafetyCaseWorkspace.jsx:623,SafetyCaseWorkspace,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load SafetyCaseWorkspace as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0046,frontend/src/pages/SafetyCorrectiveActions.jsx:673,SafetyCorrectiveActions,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load SafetyCorrectiveActions as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0047,frontend/src/pages/SafetyFireExtinguishers.jsx:458,SafetyFireExtinguishers,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load SafetyFireExtinguishers as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0048,frontend/src/pages/SafetyHub.jsx:327,SafetyHub,compliance_rate,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load SafetyHub as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0049,frontend/src/pages/SafetyHubV2.jsx:265,SafetyHubV2,compliance_rate,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load SafetyHubV2 as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0050,frontend/src/pages/SafetyIncidents.jsx:130,SafetyIncidents,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load SafetyIncidents as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0051,frontend/src/pages/ShopHub.jsx:328,ShopHub,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load ShopHub as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0052,frontend/src/pages/ViewDailyReport.jsx:446,ViewDailyReport,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load ViewDailyReport as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0053,frontend/src/pages/admin/AdminAIConfiguration.jsx:300,AdminAIConfiguration,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load AdminAIConfiguration as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0054,frontend/src/pages/admin/AdminAssetAdmin.jsx:52,AdminAssetAdmin,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load AdminAssetAdmin as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0055,frontend/src/pages/admin/AdminAssetMapping.jsx:158,AdminAssetMapping,health_score,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load AdminAssetMapping as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0056,frontend/src/pages/admin/AdminCommandCenter.jsx:144,AdminCommandCenter,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load AdminCommandCenter as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0057,frontend/src/pages/admin/AdminComplianceFindings.jsx:159,AdminComplianceFindings,compliance_rate,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load AdminComplianceFindings as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0058,frontend/src/pages/admin/AdminComplianceFindings.jsx:200,AdminComplianceFindings,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load AdminComplianceFindings as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0059,frontend/src/pages/admin/AdminGovernance.jsx:359,AdminGovernance,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load AdminGovernance as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0060,frontend/src/pages/admin/AdminGovernanceOperationalIntelligence.jsx:154,AdminGovernanceOperationalIntelligence,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load AdminGovernanceOperationalIntelligence as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0061,frontend/src/pages/admin/AdminIntegrationCenter.jsx:1402,AdminIntegrationCenter,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load AdminIntegrationCenter as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0062,frontend/src/pages/admin/AdminJhaAcknowledgements.jsx:116,AdminJhaAcknowledgements,compliance_rate,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load AdminJhaAcknowledgements as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0063,frontend/src/pages/admin/AdminMfa.jsx:178,AdminMfa,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load AdminMfa as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0064,frontend/src/pages/admin/AdminProjectIdentityGovernance.jsx:302,AdminProjectIdentityGovernance,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load AdminProjectIdentityGovernance as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0065,frontend/src/pages/admin/AssetProfile.jsx:94,AssetProfile,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load AssetProfile as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0066,frontend/src/pages/admin/DeployRecovery.jsx:137,DeployRecovery,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load DeployRecovery as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0067,frontend/src/pages/admin/Wp17dCertificationDashboard.jsx:201,Wp17dCertificationDashboard,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load Wp17dCertificationDashboard as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0068,frontend/src/pages/daily-report-v2/DailyReportV2.jsx:95,DailyReportV2,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load DailyReportV2 as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0069,frontend/src/pages/daily-report-v2/sections/SignatureSubmitSection.jsx:48,SignatureSubmitSection,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load SignatureSubmitSection as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0070,frontend/src/pages/shop/PmWorkOrders.jsx:149,PmWorkOrders,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load PmWorkOrders as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0071,frontend/src/pages/shop/ServiceTruckReconciliationDetail.jsx:112,ServiceTruckReconciliationDetail,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load ServiceTruckReconciliationDetail as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
