loc,route,label,class,concept,owner,disposition
frontend/src/components/EquipmentLines.jsx:378,EquipmentLines,equipment-grand-total,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/EquipmentLines.jsx:388,EquipmentLines,equipment-grand-total-amount,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/EquipmentMasterPanel.jsx:402,EquipmentMasterPanel,equipment-master-total,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/EquipmentReturnLines.jsx:393,EquipmentReturnLines,equipment-return-total-value,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/EquipmentReturnLines.jsx:400,EquipmentReturnLines,equipment-return-total-damage,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/EquipmentStatusBoard.jsx:105,EquipmentStatusBoard,equipment-status-board,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/EquipmentStatusBoard.jsx:148,EquipmentStatusBoard,status-board-toggle,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/EquipmentStatusBoard.jsx:208,EquipmentStatusBoard,status-empty-filter,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/EquipmentStatusBoard.jsx:212,EquipmentStatusBoard,status-board-list,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/EquipmentTrendsPanel.jsx:79,EquipmentTrendsPanel,<Stat,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrCompletenessTile.jsx:89,HrCompletenessTile,hr-completeness-tile-loading,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrCompletenessTile.jsx:103,HrCompletenessTile,hr-completeness-tile-error,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrCompletenessTile.jsx:125,HrCompletenessTile,hr-completeness-tile,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrCompletenessTile.jsx:135,HrCompletenessTile,hr-completeness-title,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrCompletenessTile.jsx:141,HrCompletenessTile,hr-completeness-band,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/HrCompletenessTile.jsx:147,HrCompletenessTile,hr-completeness-generated-at,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrCompletenessTile.jsx:182,HrCompletenessTile,hr-completeness-view-missing,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrCompletenessTile.jsx:210,HrCompletenessTile,hr-completeness-export-csv,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrCompletenessTile.jsx:217,HrCompletenessTile,hr-completeness-include-inactive-label,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrCompletenessTile.jsx:224,HrCompletenessTile,hr-completeness-include-inactive,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrCompletenessTile.jsx:231,HrCompletenessTile,hr-completeness-lifecycle-link,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrCompletenessTile.jsx:277,HrCompletenessTile,hr-completeness-drawer-backdrop,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrCompletenessTile.jsx:284,HrCompletenessTile,hr-completeness-drawer,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrCompletenessTile.jsx:298,HrCompletenessTile,hr-completeness-drawer-close,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrCompletenessTile.jsx:312,HrCompletenessTile,hr-completeness-drawer-empty,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrCompletenessTile.jsx:316,HrCompletenessTile,hr-completeness-drawer-table,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/HrKpiStrip.jsx:159,HrKpiStrip,hr-kpi-strip,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/IntegrationHealthCard.jsx:61,IntegrationHealthCard,integration-health-card,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/IntegrationHealthCard.jsx:72,IntegrationHealthCard,integration-health-refresh,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/IntegrationHealthCard.jsx:115,IntegrationHealthCard,integration-health-admin-link,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/MentionTextarea.jsx:120,MentionTextarea,mention-autocomplete,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/NotificationBell.jsx:451,NotificationBell,notification-mute-status,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/OperationsTrustCenter.jsx:207,OperationsTrustCenter,otc-score-ring,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/OperationsTrustCenter.jsx:228,OperationsTrustCenter,otc-score-value,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/OperationsTrustCenter.jsx:761,OperationsTrustCenter,<ScoreRing score={data.trust_score ?? 0} band={band} />,KPI_CONCEPT,health_score,lib.trust_score(+distinct),RECONCILED_KPI
frontend/src/components/OperationsTrustCenter.jsx:836,OperationsTrustCenter,otc-score-inputs,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/PersistenceHealthBanner.jsx:79,PersistenceHealthBanner,persistence-health-ok,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/PersistenceHealthBanner.jsx:99,PersistenceHealthBanner,persistence-health-warn,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/PlatformTrustDashboard.jsx:591,PlatformTrustDashboard,trust-spine-platform-band,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/PlatformTrustDashboard.jsx:635,PlatformTrustDashboard,trust-spine-stat-total,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/PmOperationalKPIs.jsx:65,PmOperationalKPIs,pm-operational-kpis,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/PmOperationalKPIs.jsx:68,PmOperationalKPIs,pm-operational-kpis-title,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/PmOperationalKPIs.jsx:93,PmOperationalKPIs,pm-operational-kpis-loading,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/PmOperationalKPIs.jsx:94,PmOperationalKPIs,pm-operational-kpis-error,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/PmOperationalKPIs.jsx:97,PmOperationalKPIs,pm-operational-kpis-range,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/PmOperationalKPIs.jsx:307,PmOperationalKPIs,pm-kpi-latest-summary,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/PmOperationalKPIs.jsx:343,PmOperationalKPIs,pm-kpi-scheduling-readiness,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/PmOperationalKPIs.jsx:387,PmOperationalKPIs,pm-kpi-safety-sources,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/QueueStatusPill.jsx:385,QueueStatusPill,queue-status-drawer-backdrop,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/QueueStatusPill.jsx:390,QueueStatusPill,queue-status-drawer,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/RoutingStatusPanel.jsx:137,RoutingStatusPanel,routing-status-panel,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/RoutingStatusPanel.jsx:153,RoutingStatusPanel,routing-status-mode,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/RoutingStatusPanel.jsx:165,RoutingStatusPanel,routing-status-refresh,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/RoutingStatusPanel.jsx:175,RoutingStatusPanel,routing-status-self-check,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/RoutingStatusPanel.jsx:183,RoutingStatusPanel,routing-status-band-reason,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/RoutingStatusPanel.jsx:405,RoutingStatusPanel,pm-cov-total,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/SafetyOperationalKpisCard.jsx:79,SafetyOperationalKpisCard,safety-operational-kpis,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SafetyOperationalKpisCard.jsx:83,SafetyOperationalKpisCard,safety-kpis-title,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SafetyOperationalKpisCard.jsx:106,SafetyOperationalKpisCard,safety-kpis-loading,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SafetyOperationalKpisCard.jsx:108,SafetyOperationalKpisCard,safety-kpis-error,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SafetyOperationalKpisCard.jsx:114,SafetyOperationalKpisCard,safety-kpis-retry,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SafetyOperationalKpisCard.jsx:124,SafetyOperationalKpisCard,safety-kpis-band,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/SafetyOperationalKpisCard.jsx:131,SafetyOperationalKpisCard,safety-kpis-band-value,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/SafetyOperationalKpisCard.jsx:148,SafetyOperationalKpisCard,safety-kpi-escalation-gap,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SafetyOperationalKpisCard.jsx:191,SafetyOperationalKpisCard,safety-kpis-empty,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SafetyOperationalKpisCard.jsx:197,SafetyOperationalKpisCard,safety-kpis-project-ranking,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SafetyOperationalKpisCard.jsx:278,SafetyOperationalKpisCard,safety-kpis-source-status,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/SafetyOperationalKpisCard.jsx:324,SafetyOperationalKpisCard,safety-kpis-drilldown-backdrop,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SafetyOperationalKpisCard.jsx:331,SafetyOperationalKpisCard,safety-kpis-drilldown,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SafetyOperationalKpisCard.jsx:348,SafetyOperationalKpisCard,safety-kpis-drilldown-close,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SafetyOperationalKpisCard.jsx:356,SafetyOperationalKpisCard,safety-kpis-drilldown-error,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SafetyOperationalKpisCard.jsx:362,SafetyOperationalKpisCard,safety-kpis-drilldown-retry,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SafetyTrenchIntelligenceCard.jsx:190,SafetyTrenchIntelligenceCard,safety-trench-drilldown-band,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/SafetyTrenchIntelligenceCard.jsx:273,SafetyTrenchIntelligenceCard,safety-trench-cleanup-total,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/SafetyTrenchIntelligenceCard.jsx:291,SafetyTrenchIntelligenceCard,cleanup-count-missing,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/SafetyTrenchIntelligenceCard.jsx:295,SafetyTrenchIntelligenceCard,cleanup-count-ambiguous,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/SafetyTrenchIntelligenceCard.jsx:299,SafetyTrenchIntelligenceCard,cleanup-count-asset-only,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/SafetyTrenchIntelligenceCard.jsx:479,SafetyTrenchIntelligenceCard,safety-trench-band,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/SessionStatusOverlay.jsx:150,SessionStatusOverlay,session-status-overlay,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/SessionStatusOverlay.jsx:163,SessionStatusOverlay,session-status-title,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/SessionStatusOverlay.jsx:167,SessionStatusOverlay,session-status-body,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/SessionStatusOverlay.jsx:176,SessionStatusOverlay,session-status-close,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/SessionStatusOverlay.jsx:186,SessionStatusOverlay,session-status-secondary,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/SessionStatusOverlay.jsx:196,SessionStatusOverlay,session-status-primary,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/SystemHealthBadge.jsx:260,SystemHealthBadge,system-health-badge,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SystemHealthBadge.jsx:266,SystemHealthBadge,system-health-toggle,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SystemHealthBadge.jsx:275,SystemHealthBadge,system-health-dropdown,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/SystemHealthBadge.jsx:288,SystemHealthBadge,system-health-recheck,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/WhereUsedPanel.jsx:86,WhereUsedPanel,where-used-total,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/admin/LocationIntelligencePanel.jsx:81,LocationIntelligencePanel,"<Stat label=""Active jobs""           value={stats.total}     ",POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/admin/LocationIntelligencePanel.jsx:82,LocationIntelligencePanel,"<Stat label=""Verified geofence""     value={stats.linked}    ",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/admin/LocationIntelligencePanel.jsx:83,LocationIntelligencePanel,"<Stat label=""Pending review""        value={stats.pending}   ",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/admin/LocationIntelligencePanel.jsx:84,LocationIntelligencePanel,"<Stat label=""No proposal""           value={stats.orphan}    ",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/admin/MaintainxP0Tab.jsx:206,MaintainxP0Tab,mx-p0-key-status,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/admin/OperationalSignalsPanel.jsx:203,OperationalSignalsPanel,"<Stat label=""n"" value={ct.count} />",POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/admin/OperationalSignalsPanel.jsx:204,OperationalSignalsPanel,"<Stat label=""avg"" value={ct.count ? formatMs(ct.avg_ms) : ""—",POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/admin/OperationalSignalsPanel.jsx:205,OperationalSignalsPanel,"<Stat label=""p90"" value={ct.count ? formatMs(ct.p90_ms) : ""—",POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/admin/R2LifecyclePanel.jsx:171,R2LifecyclePanel,r2-lifecycle-health-card,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/admin/R2LifecyclePanel.jsx:175,R2LifecyclePanel,r2-lifecycle-health-score,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/admin/R2LifecyclePanel.jsx:179,R2LifecyclePanel,r2-lifecycle-health-band,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/admin/R2LifecyclePanel.jsx:287,R2LifecyclePanel,r2-lifecycle-retention-generated-at,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/admin/R2LifecyclePanel.jsx:310,R2LifecyclePanel,r2-lifecycle-retention-archive-count,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/admin/R2LifecyclePanel.jsx:311,R2LifecyclePanel,r2-lifecycle-retention-keep-count,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/admin/R2LifecyclePanel.jsx:312,R2LifecyclePanel,r2-lifecycle-retention-delete-count,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/admin/operational-health/OperationalHealthDashboardShell.jsx:92,OperationalHealthDashboardShell,operational-health-refresh,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/admin/operational-health/OperationalHealthDashboardShell.jsx:99,OperationalHealthDashboardShell,operational-health-dashboard-root,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/admin/operational-health/OperationalHealthDashboardShell.jsx:100,OperationalHealthDashboardShell,operational-health-hero,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/admin/operational-health/OperationalHealthDashboardShell.jsx:105,OperationalHealthDashboardShell,operational-health-framework-label,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/admin/operational-health/OperationalHealthDashboardShell.jsx:109,OperationalHealthDashboardShell,operational-health-title,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/admin/operational-health/OperationalHealthDashboardShell.jsx:112,OperationalHealthDashboardShell,operational-health-authority-statement,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/admin/operational-health/OperationalHealthDashboardShell.jsx:116,OperationalHealthDashboardShell,operational-health-counts,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
