loc,route,label,disposition,concept_or_reason,owner
frontend/src/components/CloudArchivesPanel.jsx:322,CloudArchivesPanel,cloud-archives-empty,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/ClusterCapacityBanner.jsx:55,ClusterCapacityBanner,cluster-capacity-banner,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CompanyInfoDialog.jsx:72,CompanyInfoDialog,company-info-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CompanyInfoDialog.jsx:80,CompanyInfoDialog,company-info-dialog,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CompanyInfoDialog.jsx:187,CompanyInfoDialog,ci-cancel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CompanyInfoDialog.jsx:194,CompanyInfoDialog,ci-save,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/ComplianceExportPanel.jsx:183,ComplianceExportPanel,compliance-export-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/ComplianceExportPanel.jsx:203,ComplianceExportPanel,export-all-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/ComplianceExportPanel.jsx:261,ComplianceExportPanel,export-refresh,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/ComplianceExportPanel.jsx:336,ComplianceExportPanel,full-backup-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CrewRecoveryPanel.jsx:233,CrewRecoveryPanel,crew-recovery-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CrewRecoveryPanel.jsx:256,CrewRecoveryPanel,crew-recovery-refresh,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CrewRecoveryPanel.jsx:286,CrewRecoveryPanel,crew-recovery-exception-note,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CrewRecoveryPanel.jsx:367,CrewRecoveryPanel,crew-recovery-reseed-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CrewRecoveryPanel.jsx:379,CrewRecoveryPanel,crew-recovery-destructive-disclosure,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CrewRecoveryPanel.jsx:386,CrewRecoveryPanel,crew-recovery-reseed-confirm-dialog,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CrewRecoveryPanel.jsx:418,CrewRecoveryPanel,crew-recovery-reseed-cancel-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/CrewRecoveryPanel.jsx:426,CrewRecoveryPanel,crew-recovery-reseed-confirm-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/DailyReportTopBanner.jsx:23,DailyReportTopBanner,dr-top-banner,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/DailyReportTopBanner.jsx:30,DailyReportTopBanner,dr-top-banner-back,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/DailyReportTopBanner.jsx:45,DailyReportTopBanner,dr-top-banner-actions,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/DateAuditPanel.jsx:76,DateAuditPanel,date-audit-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/DateAuditPanel.jsx:103,DateAuditPanel,date-audit-scan-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/DateAuditPanel.jsx:128,DateAuditPanel,"<Stat label=""Scanned"" value={data.totals?.scanned || 0} tone=""slate"" /",DIRECT_FACT,record_field_or_local_length,record serialization -> prop -> render
frontend/src/components/DateAuditPanel.jsx:129,DateAuditPanel,<Stat,DIRECT_FACT,value_component_fact,value-bearing component rendering a fetched fact
frontend/src/components/DateAuditPanel.jsx:134,DateAuditPanel,"<Stat label=""Review"" value={data.totals?.review || 0} tone=""slate"" />",DIRECT_FACT,record_field_or_local_length,record serialization -> prop -> render
frontend/src/components/DateAuditPanel.jsx:135,DateAuditPanel,"<Stat label=""OK"" value={data.totals?.ok || 0} tone=""emerald"" />",DIRECT_FACT,record_field_or_local_length,record serialization -> prop -> render
frontend/src/components/DispatchIntegrationsTab.jsx:54,DispatchIntegrationsTab,dispatch-integrations-loading,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/DispatchIntegrationsTab.jsx:64,DispatchIntegrationsTab,dispatch-integrations-tab,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/DispatchLiveSnapshot.jsx:107,DispatchLiveSnapshot,dispatch-feed-status,CANONICAL_STATUS,status,Wave-2 status vocab (TC-0002)
frontend/src/components/DispatchLiveSnapshot.jsx:121,DispatchLiveSnapshot,dispatch-snapshot-refresh,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/DispatchMapHero.jsx:82,DispatchMapHero,dispatch-map-hero,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/DispatchMapHero.jsx:94,DispatchMapHero,dispatch-map-feed-status,CANONICAL_STATUS,status,Wave-2 status vocab (TC-0002)
frontend/src/components/DownstreamCommitmentPanel.jsx:52,DownstreamCommitmentPanel,downstream-commitment-panel,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/DownstreamCommitmentPanel.jsx:114,DownstreamCommitmentPanel,commitment-done-btn,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/DraftResumeBanner.jsx:34,DraftResumeBanner,incident-report-draft-banner,NON_TRUTH_SURFACE_EXCLUDED_WITH_REASON,structural/control/label testid,
frontend/src/components/DriverCommandProfile.jsx:110,DriverCommandProfile,"<KV label=""Employee #"" value={identity.employee_id} mono testid=""dcp-i",DIRECT_FACT,value_component_fact,value-bearing component rendering a fetched fact
frontend/src/components/DriverCommandProfile.jsx:111,DriverCommandProfile,"<KV label=""Trade"" value={identity.trade} testid=""dcp-id-trade"" />",DIRECT_FACT,value_component_fact,value-bearing component rendering a fetched fact
frontend/src/components/DriverCommandProfile.jsx:112,DriverCommandProfile,"<KV label=""Role"" value={identity.role} testid=""dcp-id-role"" />",DIRECT_FACT,value_component_fact,value-bearing component rendering a fetched fact
frontend/src/components/DriverCommandProfile.jsx:113,DriverCommandProfile,"<KV label=""Crew"" value={identity.crew} testid=""dcp-id-crew"" />",DIRECT_FACT,value_component_fact,value-bearing component rendering a fetched fact
frontend/src/components/DriverCommandProfile.jsx:114,DriverCommandProfile,"<KV label=""Supervisor"" value={identity.supervisor_name} testid=""dcp-id",DIRECT_FACT,value_component_fact,value-bearing component rendering a fetched fact
